Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Juan Acuña,Spain,-,GK, (1923-01-11),1,,Deportivo La Coruña,Spain,1950-06-24
Gabriel Alonso,Spain,-,DF, (1923-11-09),4,,Celta Vigo,Spain,1950-06-24
Francisco Antúnez,Spain,-,DF, (1922-11-01),2,,Sevilla,Spain,1950-06-24
Vicente Asensi,Spain,-,DF, (1919-01-28),5,,Valencia,Spain,1950-06-24
Estanislau Basora,Spain,-,FW, (1926-11-18),4,,Barcelona,Spain,1950-06-24
César,Spain,-,FW, (1920-06-29),8,,Barcelona,Spain,1950-06-24
Agustín Gaínza,Spain,-,FW, (1922-05-28),14,,Atlético Bilbao,Spain,1950-06-24
Josep Gonzalvo,Spain,-,DF, (1920-01-16),3,,Barcelona,Spain,1950-06-24
Marià Gonzalvo,Spain,-,MF, (1922-03-22),8,,Barcelona,Spain,1950-06-24
Rosendo Hernández,Spain,-,FW, (1921-03-01),2,,Espanyol,Spain,1950-06-24
Silvestre Igoa,Spain,-,FW, (1920-09-05),5,,Valencia,Spain,1950-06-24
Ignacio Eizaguirre (Captain),Spain,-,GK, (1920-11-07),14,,Valencia,Spain,1950-06-24
José Juncosa,Spain,-,FW, (1922-02-02),1,,Atlético Madrid,Spain,1950-06-24
Rafael Lesmes,Spain,-,DF, (1926-11-09),0,,Valladolid,Spain,1950-06-24
Luis Molowny,Spain,-,MF, (1925-05-12),2,,Real Madrid,Spain,1950-06-24
Nando,Spain,-,MF, (1921-02-01),5,,Atlético Bilbao,Spain,1950-06-24
José Luis Panizo,Spain,-,MF, (1922-01-12),6,,Atlético Bilbao,Spain,1950-06-24
José Parra,Spain,-,DF, (1925-08-28),1,,Espanyol,Spain,1950-06-24
Antonio Puchades,Spain,-,MF, (1925-06-04),6,,Valencia,Spain,1950-06-24
Antoni Ramallets,Spain,-,GK, (1924-06-04),0,,Barcelona,Spain,1950-06-24
Alfonso Silva,Spain,-,MF, (1926-03-19),3,,Atlético Madrid,Spain,1950-06-24
Telmo Zarra,Spain,-,FW, (1921-01-20),11,,Atlético Bilbao,Spain,1950-06-24
