Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Loïc Feudjou,Cameroon,1,GK, (1992-04-14),2,,Coton Sport,Cameroon,2014-06-12
Benoît Assou-Ekotto,Cameroon,2,DF, (1984-03-24),22,,Queens Park Rangers[10],England,2014-06-12
Nicolas Nkoulou,Cameroon,3,DF, (1990-03-27),48,,Marseille,France,2014-06-12
Cédric Djeugoué,Cameroon,4,DF, (1992-08-28),3,,Coton Sport,Cameroon,2014-06-12
Dany Nounkeu,Cameroon,5,DF, (1986-04-11),16,,Beşiktaş[11],Turkey,2014-06-12
Alex Song,Cameroon,6,MF, (1987-09-09),47,,Barcelona,Spain,2014-06-12
Landry N'Guémo,Cameroon,7,MF, (1985-11-28),40,,Bordeaux,France,2014-06-12
Benjamin Moukandjo,Cameroon,8,FW, (1988-11-12),17,,Nancy,France,2014-06-12
Samuel Eto'o (c),Cameroon,9,FW, (1981-03-10),117,,Chelsea[12],England,2014-06-12
Vincent Aboubakar,Cameroon,10,FW, (1992-01-22),24,,Lorient,France,2014-06-12
Jean Makoun,Cameroon,11,MF, (1983-05-29),66,,Rennes,France,2014-06-12
Henri Bedimo,Cameroon,12,DF, (1984-06-04),31,,Lyon,France,2014-06-12
Eric Maxim Choupo-Moting,Cameroon,13,FW, (1989-03-23),26,,Mainz 05,Germany,2014-06-12
Aurélien Chedjou,Cameroon,14,DF, (1985-06-20),31,,Galatasaray,Turkey,2014-06-12
Pierre Webó,Cameroon,15,FW, (1982-01-20),56,,Fenerbahçe,Turkey,2014-06-12
Charles Itandje,Cameroon,16,GK, (1982-11-02),9,,Konyaspor[13],Turkey,2014-06-12
Stéphane Mbia,Cameroon,17,MF, (1986-05-20),49,,Sevilla[14],Spain,2014-06-12
Eyong Enoh,Cameroon,18,MF, (1986-03-23),38,,Antalyaspor,Turkey,2014-06-12
Fabrice Olinga,Cameroon,19,FW, (1996-05-12),8,,Zulte Waregem[15],Belgium,2014-06-12
Edgar Salli,Cameroon,20,MF, (1992-08-17),9,,Lens[16],France,2014-06-12
Joël Matip,Cameroon,21,MF, (1991-08-08),23,,Schalke 04,Germany,2014-06-12
Allan Nyom,Cameroon,22,DF, (1988-05-10),10,,Granada[17],Spain,2014-06-12
Sammy Ndjock,Cameroon,23,GK, (1990-02-25),3,,Fethiyespor[18],Turkey,2014-06-12
