Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Vincent Enyeama,Nigeria,1,GK, (1982-08-29),91,,Lille,France,2014-06-12
Joseph Yobo (c),Nigeria,2,DF, (1980-09-06),97,,Norwich City[121],England,2014-06-12
Ejike Uzoenyi,Nigeria,3,MF, (1992-03-23),21,,Enugu Rangers[122],Nigeria,2014-06-12
Reuben Gabriel,Nigeria,4,MF, (1990-09-25),11,,Waasland-Beveren,Belgium,2014-06-12
Efe Ambrose,Nigeria,5,DF, (1988-10-18),37,,Celtic,Scotland,2014-06-12
Azubuike Egwuekwe,Nigeria,6,DF, (1989-07-16),31,,Warri Wolves,Nigeria,2014-06-12
Ahmed Musa,Nigeria,7,FW, (1992-10-14),35,,CSKA Moscow,Russia,2014-06-12
Peter Odemwingie,Nigeria,8,FW, (1981-07-15),61,,Stoke City,England,2014-06-12
Emmanuel Emenike,Nigeria,9,FW, (1987-05-10),23,,Fenerbahçe,Turkey,2014-06-12
John Obi Mikel,Nigeria,10,MF, (1987-04-22),59,,Chelsea,England,2014-06-12
Victor Moses,Nigeria,11,MF, (1990-12-12),22,,Liverpool[123],England,2014-06-12
Kunle Odunlami,Nigeria,12,DF, (1991-04-30),11,,Sunshine Stars,Nigeria,2014-06-12
Juwon Oshaniwa,Nigeria,13,DF, (1990-09-14),10,,Ashdod,Israel,2014-06-12
Godfrey Oboabona,Nigeria,14,DF, (1990-08-16),35,,Çaykur Rizespor,Turkey,2014-06-12
Ramon Azeez,Nigeria,15,MF, (1992-12-12),2,,Almería,Spain,2014-06-12
Austin Ejide,Nigeria,16,GK, (1984-04-08),31,,Hapoel Be'er Sheva,Israel,2014-06-12
Ogenyi Onazi,Nigeria,17,MF, (1992-12-25),21,,Lazio,Italy,2014-06-12
Michael Babatunde,Nigeria,18,MF, (1992-12-24),5,,Volyn Lutsk,Ukraine,2014-06-12
Uche Nwofor,Nigeria,19,FW, (1991-09-17),6,,Heerenveen[124],Netherlands,2014-06-12
Michael Uchebo,Nigeria,20,FW, (1990-02-02),4,,Cercle Brugge,Belgium,2014-06-12
Chigozie Agbim,Nigeria,21,GK, (1984-11-28),11,,Gombe United,Nigeria,2014-06-12
Kenneth Omeruo,Nigeria,22,DF, (1993-10-17),17,,Middlesbrough[125],England,2014-06-12
Shola Ameobi,Nigeria,23,FW, (1981-10-12),7,,Newcastle United,England,2014-06-12
