Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Eiji Kawashima,Japan,1,GK, (1983-03-20),56,,Standard Liège,Belgium,2014-06-12
Atsuto Uchida,Japan,2,DF, (1988-03-27),68,,Schalke 04,Germany,2014-06-12
Gōtoku Sakai,Japan,3,DF, (1991-03-14),12,,VfB Stuttgart,Germany,2014-06-12
Keisuke Honda,Japan,4,MF, (1986-06-13),56,,Milan,Italy,2014-06-12
Yuto Nagatomo,Japan,5,DF, (1986-09-12),70,,Inter Milan,Italy,2014-06-12
Masato Morishige,Japan,6,DF, (1987-05-21),10,,FC Tokyo,Japan,2014-06-12
Yasuhito Endō,Japan,7,MF, (1980-01-28),144,,Gamba Osaka,Japan,2014-06-12
Hiroshi Kiyotake,Japan,8,MF, (1989-11-12),25,,1. FC Nürnberg,Germany,2014-06-12
Shinji Okazaki,Japan,9,FW, (1986-04-16),76,,Mainz 05,Germany,2014-06-12
Shinji Kagawa,Japan,10,MF, (1989-03-17),57,,Manchester United,England,2014-06-12
Yoichiro Kakitani,Japan,11,FW, (1990-01-03),12,,Cerezo Osaka,Japan,2014-06-12
Shusaku Nishikawa,Japan,12,GK, (1986-06-18),13,,Urawa Red Diamonds,Japan,2014-06-12
Yoshito Ōkubo,Japan,13,FW, (1982-06-09),57,,Kawasaki Frontale,Japan,2014-06-12
Toshihiro Aoyama,Japan,14,MF, (1986-02-22),6,,Sanfrecce Hiroshima,Japan,2014-06-12
Yasuyuki Konno,Japan,15,DF, (1983-01-25),81,,Gamba Osaka,Japan,2014-06-12
Hotaru Yamaguchi,Japan,16,MF, (1990-10-06),12,,Cerezo Osaka,Japan,2014-06-12
Makoto Hasebe (c),Japan,17,MF, (1984-01-18),78,,1. FC Nürnberg,Germany,2014-06-12
Yuya Osako,Japan,18,FW, (1990-05-18),9,,1860 Munich,Germany,2014-06-12
Masahiko Inoha,Japan,19,DF, (1983-08-28),21,,Júbilo Iwata,Japan,2014-06-12
Manabu Saitō,Japan,20,FW, (1990-04-04),5,,Yokohama F. Marinos,Japan,2014-06-12
Hiroki Sakai,Japan,21,DF, (1990-04-12),18,,Hannover 96,Germany,2014-06-12
Maya Yoshida,Japan,22,DF, (1988-08-24),41,,Southampton,England,2014-06-12
Shūichi Gonda,Japan,23,GK, (1989-03-03),2,,FC Tokyo,Japan,2014-06-12
