Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Iker Casillas (c),Spain,1,GK, (1981-05-20),154,,Real Madrid,Spain
Raúl Albiol,Spain,2,DF, (1985-09-04),46,,Napoli,Italy
Gerard Piqué,Spain,3,DF, (1987-02-02),60,,Barcelona,Spain
Javi Martínez,Spain,4,MF, (1988-09-02),17,,Bayern Munich,Germany
Juanfran,Spain,5,DF, (1985-01-09),8,,Atlético Madrid,Spain
Andrés Iniesta,Spain,6,MF, (1984-05-11),97,,Barcelona,Spain
David Villa,Spain,7,FW, (1981-12-03),96,,Atlético Madrid[48],Spain
Xavi,Spain,8,MF, (1980-01-25),132,,Barcelona,Spain
Fernando Torres,Spain,9,FW, (1984-03-20),107,,Chelsea,England
Cesc Fàbregas,Spain,10,MF, (1987-05-04),89,,Barcelona[49],Spain
Pedro,Spain,11,FW, (1987-07-28),40,,Barcelona,Spain
David de Gea,Spain,12,GK, (1990-11-07),1,,Manchester United,England
Juan Mata,Spain,13,MF, (1988-04-28),33,,Manchester United,England
Xabi Alonso,Spain,14,MF, (1981-11-25),111,,Real Madrid,Spain
Sergio Ramos,Spain,15,DF, (1986-03-30),117,,Real Madrid,Spain
Sergio Busquets,Spain,16,MF, (1988-07-16),65,,Barcelona,Spain
Koke,Spain,17,MF, (1992-01-08),8,,Atlético Madrid,Spain
Jordi Alba,Spain,18,DF, (1989-03-21),26,,Barcelona,Spain
Diego Costa,Spain,19,FW, (1988-10-07),2,,Atlético Madrid,Spain
Santi Cazorla,Spain,20,MF, (1984-12-13),64,,Arsenal,England
David Silva,Spain,21,MF, (1986-01-08),80,,Manchester City,England
César Azpilicueta,Spain,22,DF, (1989-08-28),6,,Chelsea,England
Pepe Reina,Spain,23,GK, (1982-08-31),32,,Napoli[50],Italy
