Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Jung Sung-ryong,South Korea,1,GK, (1985-01-04),61,,Suwon Samsung Bluewings,South Korea,2014-06-12
Kim Chang-soo,South Korea,2,DF, (1985-09-12),9,,Kashiwa Reysol,Japan,2014-06-12
Yun Suk-young,South Korea,3,DF, (1990-02-13),4,,Queens Park Rangers,England,2014-06-12
Kwak Tae-hwi,South Korea,4,DF, (1981-07-08),35,,Al Hilal,Saudi Arabia,2014-06-12
Kim Young-gwon,South Korea,5,DF, (1990-02-27),21,,Guangzhou Evergrande,China,2014-06-12
Hwang Seok-ho,South Korea,6,DF, (1989-06-27),3,,Sanfrecce Hiroshima,Japan,2014-06-12
Kim Bo-kyung,South Korea,7,MF, (1989-10-06),28,,Cardiff City,Wales,2014-06-12
Ha Dae-sung,South Korea,8,MF, (1985-03-02),13,,Beijing Guoan,China,2014-06-12
Son Heung-min,South Korea,9,FW, (1992-07-08),25,,Bayer Leverkusen,Germany,2014-06-12
Park Chu-young,South Korea,10,FW, (1985-07-10),64,,Watford[156],England,2014-06-12
Lee Keun-ho,South Korea,11,FW, (1985-04-11),63,,Sangju Sangmu,South Korea,2014-06-12
Lee Yong,South Korea,12,DF, (1986-12-24),12,,Ulsan Hyundai,South Korea,2014-06-12
Koo Ja-cheol (c),South Korea,13,MF, (1989-02-27),37,,Mainz 05,Germany,2014-06-12
Han Kook-young,South Korea,14,MF, (1990-04-19),10,,Kashiwa Reysol,Japan,2014-06-12
Park Jong-woo,South Korea,15,MF, (1989-03-10),10,,Guangzhou R&F,China,2014-06-12
Ki Sung-yueng,South Korea,16,MF, (1989-01-24),58,,Sunderland[157],England,2014-06-12
Lee Chung-yong,South Korea,17,MF, (1988-07-02),55,,Bolton Wanderers,England,2014-06-12
Kim Shin-wook,South Korea,18,FW, (1988-04-14),27,,Ulsan Hyundai,South Korea,2014-06-12
Ji Dong-won,South Korea,19,FW, (1991-05-28),28,,FC Augsburg[158],Germany,2014-06-12
Hong Jeong-ho,South Korea,20,DF, (1989-08-12),25,,FC Augsburg,Germany,2014-06-12
Kim Seung-gyu,South Korea,21,GK, (1990-09-30),5,,Ulsan Hyundai,South Korea,2014-06-12
Park Joo-ho[159],South Korea,22,DF, (1987-01-16),14,,Mainz 05,Germany,2014-06-12
Lee Bum-young,South Korea,23,GK, (1989-04-02),0,,Busan IPark,South Korea,2014-06-12
