Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Diego Benaglio,Switzerland,1,GK, (1983-09-08),57,,VfL Wolfsburg,Germany
Stephan Lichtsteiner,Switzerland,2,DF, (1984-01-16),63,,Juventus,Italy
Reto Ziegler,Switzerland,3,DF, (1986-01-16),35,,Sassuolo[100],Italy
Philippe Senderos,Switzerland,4,DF, (1985-02-14),53,,Valencia[101],Spain
Steve von Bergen,Switzerland,5,DF, (1983-06-10),41,,Young Boys,Switzerland
Michael Lang,Switzerland,6,DF, (1991-02-08),6,,Grasshopper,Switzerland
Tranquillo Barnetta,Switzerland,7,MF, (1985-05-22),74,,Eintracht Frankfurt,Germany
Gökhan Inler (c),Switzerland,8,MF, (1984-06-27),73,,Napoli,Italy
Haris Seferovic,Switzerland,9,FW, (1992-02-22),11,,Real Sociedad,Spain
Granit Xhaka,Switzerland,10,MF, (1992-09-27),26,,Borussia Mönchengladbach,Germany
Valon Behrami,Switzerland,11,MF, (1985-04-19),48,,Napoli,Italy
Yann Sommer,Switzerland,12,GK, (1988-12-17),6,,Basel[102],Switzerland
Ricardo Rodríguez,Switzerland,13,DF, (1992-08-25),21,,VfL Wolfsburg,Germany
Valentin Stocker,Switzerland,14,MF, (1989-04-12),24,,Basel[103],Switzerland
Blerim Džemaili,Switzerland,15,MF, (1986-04-12),34,,Napoli,Italy
Gelson Fernandes,Switzerland,16,MF, (1986-09-02),47,,SC Freiburg,Germany
Mario Gavranović,Switzerland,17,FW, (1989-11-24),11,,Zürich,Switzerland
Admir Mehmedi,Switzerland,18,FW, (1991-03-16),21,,SC Freiburg[104],Germany
Josip Drmić,Switzerland,19,FW, (1992-08-08),7,,1. FC Nürnberg[105],Germany
Johan Djourou,Switzerland,20,DF, (1987-01-18),44,,Hamburger SV[106],Germany
Roman Bürki,Switzerland,21,GK, (1990-11-14),0,,Grasshopper[107],Switzerland
Fabian Schär,Switzerland,22,DF, (1991-12-20),6,,Basel,Switzerland
Xherdan Shaqiri,Switzerland,23,MF, (1991-10-10),33,,Bayern Munich,Germany
