Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Sergio Romero,Argentina,1,GK, (1987-02-22),47,,Monaco,France,2014-06-12
Ezequiel Garay,Argentina,2,DF, (1986-10-10),18,,Benfica[110],Portugal,2014-06-12
Hugo Campagnaro,Argentina,3,DF, (1980-06-27),15,,Inter Milan,Italy,2014-06-12
Pablo Zabaleta,Argentina,4,DF, (1985-01-16),36,,Manchester City,England,2014-06-12
Fernando Gago,Argentina,5,MF, (1986-04-10),49,,Boca Juniors,Argentina,2014-06-12
Lucas Biglia,Argentina,6,MF, (1986-01-30),18,,Lazio,Italy,2014-06-12
Ángel Di María,Argentina,7,MF, (1988-02-14),47,,Real Madrid,Spain,2014-06-12
Enzo Pérez,Argentina,8,MF, (1986-02-22),7,,Benfica,Portugal,2014-06-12
Gonzalo Higuaín,Argentina,9,FW, (1987-12-10),36,,Napoli,Italy,2014-06-12
Lionel Messi (c),Argentina,10,FW, (1987-06-24),86,,Barcelona,Spain,2014-06-12
Maxi Rodríguez,Argentina,11,MF, (1981-01-02),55,,Newell's Old Boys,Argentina,2014-06-12
Agustín Orión,Argentina,12,GK, (1981-07-26),3,,Boca Juniors,Argentina,2014-06-12
Augusto Fernández,Argentina,13,MF, (1986-04-10),9,,Celta Vigo,Spain,2014-06-12
Javier Mascherano,Argentina,14,MF, (1984-06-08),98,,Barcelona,Spain,2014-06-12
Martín Demichelis,Argentina,15,DF, (1980-12-20),38,,Manchester City,England,2014-06-12
Marcos Rojo,Argentina,16,DF, (1990-03-20),22,,Sporting CP,Portugal,2014-06-12
Federico Fernández,Argentina,17,DF, (1989-02-21),26,,Napoli,Italy,2014-06-12
Rodrigo Palacio,Argentina,18,FW, (1982-02-05),22,,Inter Milan,Italy,2014-06-12
Ricky Álvarez,Argentina,19,MF, (1988-04-12),7,,Inter Milan,Italy,2014-06-12
Sergio Agüero,Argentina,20,FW, (1988-06-02),51,,Manchester City,England,2014-06-12
Mariano Andújar,Argentina,21,GK, (1983-07-30),10,,Catania[111],Italy,2014-06-12
Ezequiel Lavezzi,Argentina,22,FW, (1985-05-03),31,,Paris Saint-Germain,France,2014-06-12
José María Basanta,Argentina,23,DF, (1984-04-03),10,,Monterrey,Mexico,2014-06-12
