Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Ferdinand Adams,Belgium,,FW, (1903-05-03),21,,SC Anderlechtois,Belgium
Arnold Badjou,Belgium,,GK, (1909-06-26),3,,Daring Club de Bruxelles Société Royale,Belgium
Pierre Braine (c),Belgium,,MF, (1900-10-26),42,,Royal Beerschot AC,Belgium
Alexis Chantraine,Belgium,,MF, (1901-03-16),0,,Royal FC Liégeois,Belgium
Jean De Bie,Belgium,,GK, (1892-05-09),37,,Royal Racing Club de Bruxelles,Belgium
Jean De Clercq,Belgium,,MF, (1905-05-17),5,,Royal Antwerp FC,Belgium
Henri De Deken,Belgium,,DF, (1907-08-03),0,,Royal Antwerp FC,Belgium
Gérard Delbeke,Belgium,,MF, (1903-09-01),0,,Royal FC Brugeois,Belgium
Jan Diddens,Belgium,,FW, (1908-09-14),21,,RC de Malines Société Royale,Belgium
August Hellemans,Belgium,,MF, (1907-09-14),4,,Royal FC Malinois,Belgium
Nic Hoydonckx,Belgium,,DF, (1900-12-29),19,,FC Excelsior Hasselt,Belgium
Jacques Moeschal,Belgium,,FW, (1900-09-06),15,,Royal Racing Club de Bruxelles,Belgium
Theodore Nouwens,Belgium,,DF, (1908-02-17),10,,RC de Malines Société Royale,Belgium
André Saeys,Belgium,,FW, (1911-02-20),0,,Royal CS Brugeois,Belgium
Louis Versyp,Belgium,,FW, (1908-12-05),7,,Royal FC Brugeois,Belgium
Bernard Voorhoof,Belgium,,FW, (1910-05-10),6,,Liersche Sportkring,Belgium
