Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Mario Alborta,Bolivia,,FW, (1910-09-19),7,,Club Bolívar,Bolivia,1930-07-17
Juan Argote,Bolivia,,MF, (1906-11-25),0,,Club Bolívar,Bolivia,1930-07-17
Jesús Bermúdez,Bolivia,,GK, (1902-01-24),6,,Oruro Royal,Bolivia,1930-07-17
Miguel Brito,Bolivia,,MF, (1901-06-13),0,,Oruro Royal,Bolivia,1930-07-17
José Bustamante,Bolivia,,FW, (1907-01-01),7,,Litoral,Bolivia,1930-07-17
Casiano Chavarría,Bolivia,,DF, (1901-08-03),6,,Calavera La Paz,Bolivia,1930-07-17
Segundo Durandal,Bolivia,,DF, (1912-03-17),0,,Club San José,Bolivia,1930-07-17
René Fernández,Bolivia,,FW, (1906-01-01),0,,Alianza Oruro,Bolivia,1930-07-17
Gumercindo Gómez,Bolivia,,FW, (1907-01-21),0,,Oruro Royal,Bolivia,1930-07-17
Diógenes Lara,Bolivia,,MF, (1903-04-06),7,,Club Bolívar,Bolivia,1930-07-17
Rafael Méndez (c),Bolivia,,FW, (1904-01-01),7,,Universitario La Paz,Bolivia,1930-07-17
Miguel Murillo,Bolivia,,GK, (1898-03-24),0,,Club Bolívar,Bolivia,1930-07-17
Constantino Noya,Bolivia,,MF,"
",0,,Oruro Royal,Bolivia,1930-07-17
Eduardo Reyes Ortiz,Bolivia,,FW, (1907-01-01),0,,The Strongest,Bolivia,1930-07-17
Luis Reyes Peñaranda,Bolivia,,DF, (1911-06-05),0,,Universitario La Paz,Bolivia,1930-07-17
Renato Sáinz,Bolivia,,MF, (1899-12-14),5,,The Strongest,Bolivia,1930-07-17
Jorge Valderrama,Bolivia,,MF, (1906-12-12),5,,Oruro Royal,Bolivia,1930-07-17
