Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Juan Aguilera,Chile,,FW, (1903-10-23),0,,Audax Italiano,Chile
Guillermo Arellano,Chile,,FW, (1908-08-21),0,,Colo-Colo,Chile
Ernesto Chaparro,Chile,,DF, (1901-01-04),3,,Colo-Colo,Chile
Arturo Coddou,Chile,,MF, (1905-01-14),0,,Lord Cochrane,Chile
Roberto Cortés,Chile,,GK, (1905-02-02),3,,Colo-Colo,Chile
Humberto Elgueta,Chile,,MF, (1904-09-10),9,,Deportivo Naval,Chile
César Espinoza,Chile,,GK, (1900-09-28),0,,CD Santiago,Chile
Víctor Morales,Chile,,DF, (1905-05-10),8,,Colo-Colo,Chile
Horacio Muñoz,Chile,,FW,"1 January 1900 (aged 30)
",9,,Arturo Fernández Vial,Chile
Tomás Ojeda,Chile,,FW, (1910-04-20),0,,Boca Juniors Antofagasta,Chile
Ulises Poirier,Chile,,DF, (1897-02-02),14,,La Cruz FC,Chile
Guillermo Riveros,Chile,,DF, (1902-02-10),2,,La Cruz FC,Chile
Guillermo Saavedra,Chile,,MF, (1903-11-05),6,,Colo-Colo,Chile
Carlos Schneeberger (c),Chile,,FW, (1902-06-21),3,,Colo-Colo,Chile
Guillermo Subiabre,Chile,,FW, (1902-02-25),3,,Colo-Colo,Chile
Arturo Torres,Chile,,MF, (1906-10-20),3,,Colo-Colo,Chile
Casimiro Torres,Chile,,MF,"1 January 1906 (age 24)
",0,,Everton,Chile
Carlos Vidal,Chile,,FW, (1902-02-24),0,,Federico Schwager,Chile
Eberardo Villalobos,Chile,,FW, (1908-04-01),0,,Rangers,Chile
