Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Pat Jennings,Northern Ireland,1,GK, (1945-06-12),91,,Arsenal,England,1982-06-13
Jimmy Nicholl,Northern Ireland,2,DF, (1956-02-28),43,,Toronto Blizzard,Canada,1982-06-13
Mal Donaghy,Northern Ireland,3,DF, (1957-09-13),12,,Luton Town,England,1982-06-13
David McCreery,Northern Ireland,4,MF, (1957-09-16),39,,Tulsa Roughnecks,United States,1982-06-13
Chris Nicholl,Northern Ireland,5,DF, (1946-10-12),41,,Southampton,England,1982-06-13
John O'Neill,Northern Ireland,6,DF, (1958-03-11),17,,Leicester City,England,1982-06-13
Noel Brotherston,Northern Ireland,7,FW, (1956-11-18),14,,Blackburn Rovers,England,1982-06-13
Martin O'Neill (c),Northern Ireland,8,MF, (1952-03-01),44,,Norwich City,England,1982-06-13
Gerry Armstrong,Northern Ireland,9,FW, (1954-05-23),37,,Watford,England,1982-06-13
Sammy McIlroy,Northern Ireland,10,FW, (1954-08-02),49,,Stoke City,England,1982-06-13
Billy Hamilton,Northern Ireland,11,FW, (1957-05-09),16,,Burnley,England,1982-06-13
John McClelland,Northern Ireland,12,DF, (1955-12-07),10,,Rangers,Scotland,1982-06-13
Sammy Nelson,Northern Ireland,13,DF, (1949-04-01),49,,Brighton & Hove Albion,England,1982-06-13
Tommy Cassidy,Northern Ireland,14,MF, (1950-11-18),23,,Burnley,England,1982-06-13
Tommy Finney,Northern Ireland,15,MF, (1952-11-06),15,,Cambridge United,England,1982-06-13
Norman Whiteside,Northern Ireland,16,FW, (1965-05-07),0,,Manchester United,England,1982-06-13
Jim Platt,Northern Ireland,17,GK, (1952-01-26),15,,Middlesbrough,England,1982-06-13
Johnny Jameson,Northern Ireland,18,MF, (1958-03-11),0,,Glentoran,Northern Ireland,1982-06-13
Felix Healy,Northern Ireland,19,FW, (1955-09-27),2,,Coleraine,Northern Ireland,1982-06-13
Jim Cleary,Northern Ireland,20,MF, (1956-05-27),2,,Glentoran,Northern Ireland,1982-06-13
Bobby Campbell,Northern Ireland,21,FW, (1956-09-13),2,,Bradford City,England,1982-06-13
George Dunlop,Northern Ireland,22,GK, (1956-01-16),0,,Linfield,Northern Ireland,1982-06-13
