Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Waldir Peres,Brazil,1,GK, (1951-02-02),23,,São Paulo,Brazil,1982-06-13
Leandro,Brazil,2,DF, (1959-03-17),6,,Flamengo,Brazil,1982-06-13
Oscar,Brazil,3,DF, (1954-06-20),36,,São Paulo,Brazil,1982-06-13
Luizinho,Brazil,4,DF, (1958-10-22),24,,Atlético Mineiro,Brazil,1982-06-13
Toninho Cerezo,Brazil,5,MF, (1955-04-21),49,,Atlético Mineiro,Brazil,1982-06-13
Júnior,Brazil,6,DF, (1954-06-29),35,,Flamengo,Brazil,1982-06-13
Paulo Isidoro,Brazil,7,MF, (1953-08-03),28,,Grêmio,Brazil,1982-06-13
Sócrates (c),Brazil,8,MF, (1954-02-19),33,,Corinthians,Brazil,1982-06-13
Serginho,Brazil,9,FW, (1953-12-23),15,,São Paulo,Brazil,1982-06-13
Zico,Brazil,10,MF, (1953-03-03),56,,Flamengo,Brazil,1982-06-13
Éder,Brazil,11,FW, (1957-05-25),24,,Atlético Mineiro,Brazil,1982-06-13
Paulo Sérgio,Brazil,12,GK, (1954-07-24),3,,Botafogo,Brazil,1982-06-13
Edevaldo,Brazil,13,DF, (1958-01-28),17,,Internacional,Brazil,1982-06-13
Juninho,Brazil,14,DF, (1958-08-29),4,,Ponte Preta,Brazil,1982-06-13
Falcão,Brazil,15,MF, (1953-10-16),17,,Roma,Italy,1982-06-13
Edinho,Brazil,16,DF, (1955-06-05),34,,Fluminense,Brazil,1982-06-13
Pedrinho,Brazil,17,DF, (1957-10-22),8,,Vasco da Gama,Brazil,1982-06-13
Batista,Brazil,18,MF, (1955-03-08),32,,Grêmio,Brazil,1982-06-13
Renato,Brazil,19,MF, (1957-02-21),13,,São Paulo,Brazil,1982-06-13
Roberto Dinamite,Brazil,20,FW, (1954-04-13),32,,Vasco da Gama,Brazil,1982-06-13
Dirceu,Brazil,21,MF, (1952-06-15),23,,Atlético Madrid,Spain,1982-06-13
Carlos,Brazil,22,GK, (1956-03-04),6,,Ponte Preta,Brazil,1982-06-13
