Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Alan Rough,Scotland,1,GK, (1951-11-25),48,,Partick Thistle,Scotland,1982-06-13
Danny McGrain (c)[2],Scotland,2,DF, (1950-05-01),60,,Celtic,Scotland,1982-06-13
Frank Gray,Scotland,3,DF, (1954-10-27),22,,Leeds United,England,1982-06-13
Graeme Souness,Scotland,4,MF, (1953-05-06),25,,Liverpool,England,1982-06-13
Alan Hansen,Scotland,5,DF, (1955-06-13),14,,Liverpool,England,1982-06-13
Willie Miller,Scotland,6,DF, (1955-05-02),17,,Aberdeen,Scotland,1982-06-13
Gordon Strachan,Scotland,7,MF, (1957-02-09),11,,Aberdeen,Scotland,1982-06-13
Kenny Dalglish,Scotland,8,FW, (1951-03-04),86,,Liverpool,England,1982-06-13
Alan Brazil,Scotland,9,FW, (1959-06-15),7,,Ipswich Town,England,1982-06-13
John Wark,Scotland,10,MF, (1957-08-04),15,,Ipswich Town,England,1982-06-13
John Robertson,Scotland,11,FW, (1953-01-20),21,,Nottingham Forest,England,1982-06-13
George Wood,Scotland,12,GK, (1952-09-26),4,,Arsenal,England,1982-06-13
Alex McLeish,Scotland,13,DF, (1959-01-21),15,,Aberdeen,Scotland,1982-06-13
David Narey,Scotland,14,DF, (1956-06-12),13,,Dundee United,Scotland,1982-06-13
Joe Jordan,Scotland,15,FW, (1951-12-15),51,,Milan,Italy,1982-06-13
Asa Hartford,Scotland,16,MF, (1950-10-24),49,,Manchester City,England,1982-06-13
Allan Evans,Scotland,17,DF, (1956-10-12),3,,Aston Villa,England,1982-06-13
Steve Archibald,Scotland,18,FW, (1956-09-27),14,,Tottenham Hotspur,England,1982-06-13
Paul Sturrock,Scotland,19,FW, (1956-10-10),7,,Dundee United,Scotland,1982-06-13
Davie Provan,Scotland,20,FW, (1956-05-08),10,,Celtic,Scotland,1982-06-13
George Burley,Scotland,21,DF, (1956-06-03),11,,Ipswich Town,England,1982-06-13
Jim Leighton,Scotland,22,GK, (1958-07-24),0,,Aberdeen,Scotland,1982-06-13
