Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Gheorghe Albu,Romania,,DF, (1909-09-12),20,,Venus București,Romania,1934-05-27
Iuliu Baratky,Romania,,FW, (1910-05-14),1,,Crișana Oradea,Romania,1934-05-27
Silviu Bindea,Romania,,FW, (1912-10-24),8,,Ripensia Timișoara,Romania,1934-05-27
Iuliu Bodola,Romania,,FW, (1912-02-26),20,,CAO Oradea,Romania,1934-05-27
Rudolf Bürger,Romania,,DF, (1908-10-31),14,,Ripensia Timișoara,Romania,1934-05-27
Gheorghe Ciolac,Romania,,FW, (1908-08-10),14,,Ripensia Timișoara,Romania,1934-05-27
Alexandru Cuedan,Romania,,DF, (1910-09-26),0,,Rapid București,Romania,1934-05-27
Vasile Deheleanu,Romania,,MF, (1910-08-12),1,,Ripensia Timișoara,Romania,1934-05-27
Ștefan Dobay,Romania,,FW, (1909-09-26),12,,Ripensia Timișoara,Romania,1934-05-27
Gusztáv Juhász,Romania,,MF, (1911-12-19),0,,Juventus București,Romania,1934-05-27
István Klimek,Romania,,FW, (1913-04-15),0,,ILSA Timișoara,Romania,1934-05-27
Rudolf Kotormány,Romania,,MF, (1911-01-23),6,,Ripensia Timișoara,Romania,1934-05-27
Stanislau Konrad,Romania,,GK, (1913-10-23),0,,CA Timișoara,Romania,1934-05-27
Nicolae Kovács,Romania,,FW, (1911-12-29),19,,CAO Oradea,Romania,1934-05-27
József Moravetz,Romania,,MF, (1911-01-14),8,,RGM Timișoara,Romania,1934-05-27
Adalbert Püllöck,Romania,,GK, (1907-04-06),5,,Crișana Oradea,Romania,1934-05-27
Sándor Schwartz,Romania,,FW, (1909-01-18),4,,Ripensia Timișoara,Romania,1934-05-27
Grațian Sepi,Romania,,FW, (1910-12-30),18,,Universitatea Cluj,Romania,1934-05-27
Lazăr Sfera,Romania,,DF, (1909-04-29),2,,Venus București,Romania,1934-05-27
Emerich Vogl (c),Romania,,DF, (1905-08-12),27,,Juventus București,Romania,1934-05-27
Károly Weichelt,Romania,,MF,"2 March 1906 (aged 28)
",1,,CAO Oradea,Romania,1934-05-27
Vilmos Zombori,Romania,,GK, (1906-01-11),3,,Ripensia Timișoara,Romania,1934-05-27
