Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
José de Jesús Corona,Mexico,1,GK, (1981-01-26),52,0,Cruz Azul,Mexico
Hugo Ayala,Mexico,2,DF, (1987-03-31),43,1,UANL,Mexico
Carlos Salcedo,Mexico,3,DF, (1993-09-29),21,0,Eintracht Frankfurt,Germany
Rafael Márquez (captain),Mexico,4,DF, (1979-02-13),145,18,Atlas,Mexico
Érick Gutiérrez,Mexico,5,MF, (1995-06-15),9,0,Pachuca,Mexico
Jonathan dos Santos,Mexico,6,MF, (1990-04-26),32,0,LA Galaxy,United States
Miguel Layún,Mexico,7,MF, (1988-06-25),64,6,Sevilla,Spain
Marco Fabián,Mexico,8,FW, (1989-07-21),39,9,Eintracht Frankfurt,Germany
Raúl Jiménez,Mexico,9,FW, (1991-05-05),63,13,Benfica,Portugal
Giovani dos Santos,Mexico,10,MF, (1989-05-11),105,19,LA Galaxy,United States
Carlos Vela,Mexico,11,FW, (1989-03-01),68,18,Los Angeles FC,United States
Alfredo Talavera,Mexico,12,GK, (1982-09-18),27,0,Toluca,Mexico
Guillermo Ochoa,Mexico,13,GK, (1985-07-13),94,0,Standard Liège,Belgium
Javier Hernández,Mexico,14,FW, (1988-06-01),102,49,West Ham United,England
Héctor Moreno,Mexico,15,DF, (1988-01-17),92,3,Real Sociedad,Spain
Héctor Herrera,Mexico,16,DF, (1990-04-19),66,5,Porto,Portugal
Jesús Manuel Corona,Mexico,17,MF, (1993-01-06),36,7,Porto,Portugal
Andrés Guardado,Mexico,18,MF, (1986-09-28),145,25,Real Betis,Spain
Oribe Peralta,Mexico,19,FW, (1984-01-12),67,26,América,Mexico
Javier Aquino,Mexico,20,MF, (1990-02-11),53,0,UANL,Mexico
Edson Álvarez,Mexico,21,DF, (1997-10-24),13,1,América,Mexico
Hirving Lozano,Mexico,22,FW, (1995-07-30),28,7,PSV Eindhoven,Netherlands
Jesús Gallardo,Mexico,23,MF, (1994-08-15),23,0,UNAM,Mexico
