Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Eiji Kawashima,Japan,1,GK, (1983-03-20),84,0,Metz,France
Naomichi Ueda,Japan,2,DF, (1994-10-24),4,0,Kashima Antlers,Japan
Gen Shoji,Japan,3,DF, (1992-12-11),11,1,Kashima Antlers,Japan
Keisuke Honda,Japan,4,MF, (1986-06-13),95,36,Pachuca,Mexico
Yuto Nagatomo,Japan,5,DF, (1986-09-12),105,3,Galatasaray,Turkey
Wataru Endo,Japan,6,DF, (1993-02-09),12,0,Urawa Red Diamonds,Japan
Gaku Shibasaki,Japan,7,MF, (1992-05-28),18,3,Getafe,Spain
Genki Haraguchi,Japan,8,MF, (1991-05-09),33,6,Fortuna Düsseldorf,Germany
Shinji Okazaki,Japan,9,FW, (1986-04-16),113,50,Leicester City,England
Shinji Kagawa,Japan,10,MF, (1989-03-17),92,30,Borussia Dortmund,Germany
Takashi Usami,Japan,11,MF, (1992-05-06),24,3,Fortuna Düsseldorf,Germany
Masaaki Higashiguchi,Japan,12,GK, (1986-05-12),5,0,Gamba Osaka,Japan
Yoshinori Muto,Japan,13,FW, (1992-07-15),24,2,Mainz 05,Germany
Takashi Inui,Japan,14,MF, (1988-06-02),27,4,Eibar,Spain
Yuya Osako,Japan,15,FW, (1990-05-18),29,7,1. FC Köln,Germany
Hotaru Yamaguchi,Japan,16,MF, (1990-10-06),42,2,Cerezo Osaka,Japan
Makoto Hasebe (captain),Japan,17,MF, (1984-01-18),110,2,Eintracht Frankfurt,Germany
Ryota Oshima,Japan,18,MF, (1993-01-23),5,0,Kawasaki Frontale,Japan
Hiroki Sakai,Japan,19,DF, (1990-04-12),43,0,Marseille,France
Tomoaki Makino,Japan,20,DF, (1987-05-11),32,4,Urawa Red Diamonds,Japan
Gōtoku Sakai,Japan,21,DF, (1991-03-14),41,0,Hamburger SV,Germany
Maya Yoshida,Japan,22,DF, (1988-08-24),82,10,Southampton,England
Kosuke Nakamura,Japan,23,GK, (1995-02-27),4,0,Kashiwa Reysol,Japan
