Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Essam El Hadary (captain),Egypt,1,GK, (1973-01-15),158,0,Al Taawoun,Saudi Arabia
Ali Gabr,Egypt,2,DF, (1989-01-01),21,1,West Bromwich Albion,England
Ahmed Elmohamady,Egypt,3,DF, (1987-09-09),78,2,Aston Villa,England
Omar Gaber,Egypt,4,MF, (1992-01-30),24,0,Los Angeles FC,United States
Sam Morsy,Egypt,5,MF, (1991-09-10),5,0,Wigan Athletic,England
Ahmed Hegazi,Egypt,6,DF, (1991-01-25),45,1,West Bromwich Albion,England
Ahmed Fathy,Egypt,7,DF, (1984-11-10),126,3,Al Ahly,Egypt
Tarek Hamed,Egypt,8,MF, (1988-10-24),21,0,Zamalek,Egypt
Marwan Mohsen,Egypt,9,FW, (1989-02-26),24,4,Al Ahly,Egypt
Mohamed Salah,Egypt,10,FW, (1992-06-15),57,33,Liverpool,England
Kahraba,Egypt,11,FW, (1994-04-13),19,3,Al-Ittihad,Saudi Arabia
Ayman Ashraf,Egypt,12,DF, (1991-04-09),4,0,Al Ahly,Egypt
Mohamed Abdel Shafy,Egypt,13,DF, (1985-07-01),51,1,Al Fateh,Saudi Arabia
Ramadan Sobhi,Egypt,14,FW, (1997-01-23),23,1,Stoke City,England
Mahmoud Hamdy,Egypt,15,DF, (1995-06-01),0,0,Zamalek,Egypt
Sherif Ekramy,Egypt,16,GK, (1983-07-10),22,0,Al Ahly,Egypt
Mohamed Elneny,Egypt,17,MF, (1992-07-11),61,5,Arsenal,England
Shikabala,Egypt,18,FW, (1986-03-05),29,2,Al Raed,Saudi Arabia
Abdallah El Said,Egypt,19,MF, (1985-07-13),36,6,KuPS,Finland
Saad Samir,Egypt,20,DF, (1989-04-01),11,0,Al Ahly,Egypt
Trézéguet,Egypt,21,MF, (1994-10-01),24,2,Kasımpaşa,Turkey
Amr Warda,Egypt,22,FW, (1993-09-17),16,0,Atromitos,Greece
Mohamed El Shenawy,Egypt,23,GK, (1988-12-18),3,0,Al Ahly,Egypt
