Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Yassine Bounou,Morocco,1,GK, (1991-04-05),11,0,Girona,Spain,2018-06-14
Achraf Hakimi,Morocco,2,DF, (1998-11-04),10,1,Real Madrid,Spain,2018-06-14
Hamza Mendyl,Morocco,3,DF, (1997-10-21),13,0,Lille,France,2018-06-14
Manuel da Costa,Morocco,4,DF, (1986-05-06),28,1,İstanbul Başakşehir,Turkey,2018-06-14
Medhi Benatia (captain),Morocco,5,DF, (1987-04-17),57,2,Juventus,Italy,2018-06-14
Romain Saïss,Morocco,6,DF, (1990-03-26),24,1,Wolverhampton Wanderers,England,2018-06-14
Hakim Ziyech,Morocco,7,MF, (1993-03-19),18,9,Ajax,Netherlands,2018-06-14
Karim El Ahmadi,Morocco,8,MF, (1985-01-27),51,1,Feyenoord,Netherlands,2018-06-14
Ayoub El Kaabi,Morocco,9,FW, (1993-06-25),10,11,RS Berkane,Morocco,2018-06-14
Younès Belhanda,Morocco,10,MF, (1990-02-25),47,5,Galatasaray,Turkey,2018-06-14
Fayçal Fajr,Morocco,11,MF, (1988-08-01),23,2,Getafe,Spain,2018-06-14
Munir Mohamedi,Morocco,12,GK, (1989-05-10),27,0,Numancia,Spain,2018-06-14
Khalid Boutaïb,Morocco,13,FW, (1987-04-24),18,7,Yeni Malatyaspor,Turkey,2018-06-14
Mbark Boussoufa,Morocco,14,MF, (1984-08-15),59,7,Al Jazira,United Arab Emirates,2018-06-14
Youssef Aït Bennasser,Morocco,15,MF, (1996-07-07),14,0,Caen,France,2018-06-14
Nordin Amrabat,Morocco,16,MF, (1987-03-31),44,4,Leganés,Spain,2018-06-14
Nabil Dirar,Morocco,17,DF, (1986-02-25),34,3,Fenerbahçe,Turkey,2018-06-14
Amine Harit,Morocco,18,MF, (1997-06-18),6,0,Schalke 04,Germany,2018-06-14
Youssef En-Nesyri,Morocco,19,FW, (1997-06-01),16,2,Málaga,Spain,2018-06-14
Aziz Bouhaddouz,Morocco,20,FW, (1987-03-30),15,3,FC St. Pauli,Germany,2018-06-14
Sofyan Amrabat,Morocco,21,MF, (1996-08-21),6,0,Feyenoord,Netherlands,2018-06-14
Ahmed Reda Tagnaouti,Morocco,22,GK, (1996-04-05),2,0,IR Tanger,Morocco,2018-06-14
Mehdi Carcela,Morocco,23,MF, (1989-07-01),20,1,Standard Liège,Belgium,2018-06-14
