Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Alireza Beiranvand,Iran,1,GK, (1992-09-21),22,0,Persepolis,Iran
Mehdi Torabi,Iran,2,MF, (1994-09-10),17,4,Saipa,Iran
Ehsan Hajsafi,Iran,3,DF, (1990-02-25),94,6,Olympiacos,Greece
Rouzbeh Cheshmi,Iran,4,MF, (1993-07-24),10,1,Esteghlal,Iran
Milad Mohammadi,Iran,5,DF, (1993-09-29),19,0,Akhmat Grozny,Russia
Saeid Ezatolahi,Iran,6,MF, (1996-10-01),25,1,Amkar Perm,Russia
Masoud Shojaei (captain),Iran,7,MF, (1984-06-09),74,8,AEK Athens,Greece
Morteza Pouraliganji,Iran,8,DF, (1992-04-19),27,2,Al Sadd,Qatar
Omid Ebrahimi,Iran,9,MF, (1987-09-16),30,0,Esteghlal,Iran
Karim Ansarifard,Iran,10,FW, (1990-04-03),64,17,Olympiacos,Greece
Vahid Amiri,Iran,11,MF, (1988-04-02),36,1,Persepolis,Iran
Mohammad Rashid Mazaheri,Iran,12,GK, (1989-05-18),3,0,Zob Ahan,Iran
Mohammad Reza Khanzadeh,Iran,13,DF, (1991-05-11),11,1,Padideh,Iran
Saman Ghoddos,Iran,14,FW, (1993-09-06),8,1,Östersund,Sweden
Pejman Montazeri,Iran,15,DF, (1983-09-06),46,1,Esteghlal,Iran
Reza Ghoochannejhad,Iran,16,FW, (1987-09-20),43,17,Heerenveen,Netherlands
Mehdi Taremi,Iran,17,FW, (1992-07-18),26,11,Al-Gharafa,Qatar
Alireza Jahanbakhsh,Iran,18,FW, (1993-08-11),38,4,AZ,Netherlands
Majid Hosseini,Iran,19,DF, (1996-06-20),1,0,Esteghlal,Iran
Sardar Azmoun,Iran,20,FW, (1995-01-01),33,23,Rubin Kazan,Russia
Ashkan Dejagah,Iran,21,MF, (1986-07-05),46,9,Nottingham Forest,England
Amir Abedzadeh,Iran,22,GK, (1993-04-26),1,0,Marítimo,Portugal
Ramin Rezaeian,Iran,23,DF, (1990-03-21),28,2,Oostende,Belgium
