Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Roberto Sosa,Uruguay,1,GK, (1935-06-14),11,,Nacional,Uruguay
Horacio Troche (captain),Uruguay,2,DF, (1936-02-14),16,,Nacional,Uruguay
Emilio Álvarez,Uruguay,3,DF, (1939-02-10),5,,Nacional,Uruguay
Mario Méndez,Uruguay,4,DF, (1938-05-11),7,,Nacional,Uruguay
Néstor Gonçalves,Uruguay,5,MF, (1936-04-27),25,,Peñarol,Uruguay
Pedro Cubilla,Uruguay,6,MF, (1933-05-25),7,,Rampla Juniors,Uruguay
Domingo Pérez,Uruguay,7,FW, (1936-06-07),10,,Nacional,Uruguay
Julio César Cortés,Uruguay,8,MF, (1941-03-29),1,,Sud América,Uruguay
José Sasía,Uruguay,9,FW, (1933-12-27),33,,Peñarol,Uruguay
Pedro Rocha,Uruguay,10,MF, (1942-12-03),4,,Peñarol,Uruguay
Luis Cubilla,Uruguay,11,FW, (1940-03-28),12,,Peñarol,Uruguay
Luis Maidana,Uruguay,12,GK, (1934-02-24),9,,Peñarol,Uruguay
William Martínez,Uruguay,14,DF, (1928-01-13),43,,Peñarol,Uruguay
Rubén Soria,Uruguay,15,DF, (1935-01-23),3,,Cerro,Uruguay
Edgardo González,Uruguay,16,MF, (1936-09-30),21,,Peñarol,Uruguay
Rubén González,Uruguay,17,DF, (1939-07-17),10,,Nacional,Uruguay
Eliseo Álvarez,Uruguay,18,DF, (1940-08-09),0,,Nacional,Uruguay
Ronald Langón,Uruguay,19,MF, (1939-08-06),6,,Defensor,Uruguay
Mario Ludovico Bergara,Uruguay,20,FW, (1937-12-01),12,,Nacional,Uruguay
Héctor Silva,Uruguay,21,FW, (1940-02-01),6,,Danubio,Uruguay
Ángel Cabrera,Uruguay,22,FW, (1939-10-09),4,,Peñarol,Uruguay
Guillermo Escalada,Uruguay,23,FW, (1936-04-24),29,,Nacional,Uruguay
