Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Misael Escuti,Chile,1,GK, (1926-12-20),31,,Colo-Colo,Chile
Luis Eyzaguirre,Chile,2,DF, (1939-06-22),19,,Universidad de Chile,Chile
Raúl Sánchez,Chile,3,DF, (1933-10-26),21,,Santiago Wanderers,Chile
Sergio Navarro (captain),Chile,4,DF, (1936-11-20),26,,Universidad de Chile,Chile
Carlos Contreras,Chile,5,DF, (1938-10-07),6,,Universidad de Chile,Chile
Eladio Rojas,Chile,6,MF, (1934-11-08),11,,Everton,Chile
Jaime Ramírez,Chile,7,FW, (1931-08-14),39,,Universidad de Chile,Chile
Jorge Toro,Chile,8,MF, (1939-01-10),15,,Colo-Colo,Chile
Honorino Landa,Chile,9,FW, (1942-06-01),4,,Unión Española,Chile
Alberto Fouilloux,Chile,10,FW, (1940-11-22),15,,Universidad Católica,Chile
Leonel Sánchez,Chile,11,FW, (1936-04-25),45,,Universidad de Chile,Chile
Adán Godoy,Chile,12,GK, (1936-11-26),0,,Santiago Morning,Chile
Sergio Valdés,Chile,13,DF, (1933-05-11),16,,Universidad Católica,Chile
Hugo Lepe,Chile,14,DF, (1940-04-14),1,,Santiago Morning,Chile
Manuel Rodríguez,Chile,15,DF, (1938-01-18),2,,Unión Española,Chile
Humberto Cruz,Chile,16,DF, (1939-12-08),2,,Santiago Morning,Chile
Mario Ortiz,Chile,17,MF, (1936-01-28),12,,Colo-Colo,Chile
Mario Moreno,Chile,18,FW, (1935-12-31),24,,Colo-Colo,Chile
Braulio Musso,Chile,19,FW, (1930-03-08),14,,Universidad de Chile,Chile
Carlos Campos,Chile,20,FW, (1937-02-14),2,,Universidad de Chile,Chile
Armando Tobar,Chile,21,FW, (1938-06-07),17,,Universidad Católica,Chile
Manuel Astorga,Chile,22,GK, (1937-05-15),5,,Universidad de Chile,Chile
