Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Mohamed Al-Deayea,Saudi Arabia,1,GK, (1972-08-02),32,,Al-Ta'ee,Saudi Arabia,1994-06-17
Abdullah Al-Dosari,Saudi Arabia,2,DF, (1969-11-01),12,,Al-Ettifaq,Saudi Arabia,1994-06-17
Mohammed Al-Khilaiwi,Saudi Arabia,3,DF, (1971-08-21),37,,Al-Ittihad,Saudi Arabia,1994-06-17
Abdullah Sulaiman Zubromawi,Saudi Arabia,4,DF, (1973-11-15),12,,Al Ahli,Saudi Arabia,1994-06-17
Ahmed Jamil,Saudi Arabia,5,DF, (1970-01-06),69,,Al-Ittihad,Saudi Arabia,1994-06-17
Fuad Anwar,Saudi Arabia,6,MF, (1972-10-13),47,,Al Shabab,Saudi Arabia,1994-06-17
Fahad Al-Ghesheyan,Saudi Arabia,7,FW, (1973-08-01),0,,Al Hilal,Saudi Arabia,1994-06-17
Fahad Al-Bishi,Saudi Arabia,8,MF, (1965-09-10),15,,Al Nassr,Saudi Arabia,1994-06-17
Majed Abdullah (c),Saudi Arabia,9,FW, (1959-11-01),114,,Al Nassr,Saudi Arabia,1994-06-17
Saeed Al-Owairan,Saudi Arabia,10,MF, (1967-08-19),7,,Al Shabab,Saudi Arabia,1994-06-17
Fahad Al-Mehallel,Saudi Arabia,11,FW, (1970-11-11),30,,Al Shabab,Saudi Arabia,1994-06-17
Sami Al-Jaber,Saudi Arabia,12,FW, (1972-12-11),32,,Al Hilal,Saudi Arabia,1994-06-17
Mohamed Abd Al-Jawad,Saudi Arabia,13,DF, (1962-11-28),117,,Al Ahli,Saudi Arabia,1994-06-17
Khaled Massad,Saudi Arabia,14,MF, (1971-11-23),51,,Al Ahli,Saudi Arabia,1994-06-17
Saleh Al-Dawod,Saudi Arabia,15,DF, (1968-09-24),0,,Al Shabab,Saudi Arabia,1994-06-17
Talal Jebreen,Saudi Arabia,16,MF, (1973-09-25),0,,Al-Riyadh,Saudi Arabia,1994-06-17
Yassir Al-Taifi,Saudi Arabia,17,DF, (1971-05-10),?,,Al-Riyadh,Saudi Arabia,1994-06-17
Awad Al-Anazi,Saudi Arabia,18,DF, (1968-09-24),1,,Al Shabab,Saudi Arabia,1994-06-17
Hamzah Saleh,Saudi Arabia,19,MF, (1967-04-19),0,,Al Ahli,Saudi Arabia,1994-06-17
Hamzah Idris,Saudi Arabia,20,FW, (1972-10-08),7,,Ohod,Saudi Arabia,1994-06-17
Hussein Al-Sadiq,Saudi Arabia,21,GK, (1973-10-15),0,,Al Qadsiah,Saudi Arabia,1994-06-17
Ibrahim Al-Helwah,Saudi Arabia,22,GK, (1972-08-18),?,,Al-Riyadh,Saudi Arabia,1994-06-17
