Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Andoni Zubizarreta (c),Spain,1,GK, (1961-10-23),87,,Barcelona,Spain,1994-06-17
Albert Ferrer,Spain,2,DF, (1970-06-06),16,,Barcelona,Spain,1994-06-17
Jorge Otero,Spain,3,DF, (1969-03-08),5,,Celta Vigo,Spain,1994-06-17
Paco Camarasa,Spain,4,DF, (1967-09-27),9,,Valencia,Spain,1994-06-17
Abelardo,Spain,5,DF, (1970-03-19),9,,Sporting Gijón,Spain,1994-06-17
Fernando Hierro,Spain,6,MF, (1968-03-23),23,,Real Madrid,Spain,1994-06-17
Andoni Goikoetxea,Spain,7,MF, (1965-10-21),22,,Barcelona,Spain,1994-06-17
Julen Guerrero,Spain,8,MF, (1974-01-07),9,,Athletic Bilbao,Spain,1994-06-17
Pep Guardiola,Spain,9,MF, (1971-01-18),11,,Barcelona,Spain,1994-06-17
José Mari Bakero,Spain,10,MF, (1963-02-11),25,,Barcelona,Spain,1994-06-17
Txiki Begiristain,Spain,11,FW, (1964-08-12),21,,Barcelona,Spain,1994-06-17
Sergi,Spain,12,DF, (1971-12-28),2,,Barcelona,Spain,1994-06-17
Santiago Cañizares,Spain,13,GK, (1969-12-18),4,,Celta Vigo,Spain,1994-06-17
Juanele,Spain,14,FW, (1971-04-10),5,,Sporting Gijón,Spain,1994-06-17
José Luis Caminero,Spain,15,MF, (1967-11-08),4,,Atlético Madrid,Spain,1994-06-17
Felipe Miñambres,Spain,16,MF, (1965-04-29),4,,Tenerife,Spain,1994-06-17
Voro,Spain,17,DF, (1963-10-09),4,,Deportivo La Coruña,Spain,1994-06-17
Rafael Alkorta,Spain,18,DF, (1968-09-16),19,,Real Madrid,Spain,1994-06-17
Julio Salinas,Spain,19,FW, (1962-09-11),43,,Barcelona,Spain,1994-06-17
Miguel Ángel Nadal,Spain,20,DF, (1966-07-28),12,,Barcelona,Spain,1994-06-17
Luis Enrique,Spain,21,FW, (1970-05-08),5,,Real Madrid,Spain,1994-06-17
Julen Lopetegui,Spain,22,GK, (1966-08-28),1,,Logroñés,Spain,1994-06-17
