Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Bodo Illgner,Germany,1,GK, (1967-04-07),49,,1. FC Köln,Germany,1994-06-17
Thomas Strunz,Germany,2,MF, (1968-04-25),13,,VfB Stuttgart,Germany,1994-06-17
Andreas Brehme,Germany,3,DF, (1960-11-09),81,,1. FC Kaiserslautern,Germany,1994-06-17
Jürgen Kohler,Germany,4,DF, (1965-10-06),65,,Juventus,Italy,1994-06-17
Thomas Helmer,Germany,5,DF, (1965-04-21),25,,Bayern Munich,Germany,1994-06-17
Guido Buchwald,Germany,6,DF, (1961-01-24),73,,VfB Stuttgart,Germany,1994-06-17
Andreas Möller,Germany,7,MF, (1967-09-02),40,,Juventus,Italy,1994-06-17
Thomas Häßler,Germany,8,MF, (1966-05-30),50,,Roma,Italy,1994-06-17
Karl-Heinz Riedle,Germany,9,FW, (1965-09-16),39,,Borussia Dortmund,Germany,1994-06-17
Lothar Matthäus (c),Germany,10,MF, (1961-03-21),112,,Bayern Munich,Germany,1994-06-17
Stefan Kuntz,Germany,11,FW, (1962-10-30),4,,1. FC Kaiserslautern,Germany,1994-06-17
Andreas Köpke,Germany,12,GK, (1962-03-12),14,,1. FC Nürnberg,Germany,1994-06-17
Rudi Völler,Germany,13,FW, (1960-04-13),87,,Marseille,France,1994-06-17
Thomas Berthold,Germany,14,DF, (1964-11-12),54,,VfB Stuttgart,Germany,1994-06-17
Maurizio Gaudino,Germany,15,MF, (1966-12-12),5,,Eintracht Frankfurt,Germany,1994-06-17
Matthias Sammer,Germany,16,DF, (1967-09-05),24,,Borussia Dortmund,Germany,1994-06-17
Martin Wagner,Germany,17,MF, (1968-02-24),3,,1. FC Kaiserslautern,Germany,1994-06-17
Jürgen Klinsmann,Germany,18,FW, (1964-07-30),60,,Monaco,France,1994-06-17
Ulf Kirsten,Germany,19,FW, (1965-12-04),10,,Bayer Leverkusen,Germany,1994-06-17
Stefan Effenberg,Germany,20,MF, (1968-08-02),30,,Fiorentina,Italy,1994-06-17
Mario Basler,Germany,21,MF, (1968-12-18),5,,Werder Bremen,Germany,1994-06-17
Oliver Kahn,Germany,22,GK, (1969-06-15),0,,Karlsruher SC,Germany,1994-06-17
