Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Pat Bonner,Republic of Ireland,1,GK, (1960-05-24),73,,Celtic,Scotland,1994-06-17
Denis Irwin,Republic of Ireland,2,DF, (1965-10-31),26,,Manchester United,England,1994-06-17
Terry Phelan,Republic of Ireland,3,DF, (1967-03-16),22,,Manchester City,England,1994-06-17
Kevin Moran,Republic of Ireland,4,DF, (1956-04-29),71,,Blackburn Rovers,England,1994-06-17
Paul McGrath,Republic of Ireland,5,DF, (1959-12-04),65,,Aston Villa,England,1994-06-17
Roy Keane,Republic of Ireland,6,MF, (1971-08-10),22,,Manchester United,England,1994-06-17
Andy Townsend (c),Republic of Ireland,7,MF, (1963-07-23),45,,Aston Villa,England,1994-06-17
Ray Houghton,Republic of Ireland,8,MF, (1962-01-09),58,,Aston Villa,England,1994-06-17
John Aldridge,Republic of Ireland,9,FW, (1958-09-18),57,,Tranmere Rovers,England,1994-06-17
John Sheridan,Republic of Ireland,10,MF, (1964-10-01),20,,Sheffield Wednesday,England,1994-06-17
Steve Staunton,Republic of Ireland,11,DF, (1969-01-19),47,,Aston Villa,England,1994-06-17
Gary Kelly,Republic of Ireland,12,DF, (1974-07-09),5,,Leeds United,England,1994-06-17
Alan Kernaghan,Republic of Ireland,13,DF, (1967-04-25),11,,Manchester City,England,1994-06-17
Phil Babb,Republic of Ireland,14,DF, (1970-10-30),5,,Coventry City,England,1994-06-17
Tommy Coyne,Republic of Ireland,15,FW, (1962-11-14),14,,Motherwell,Scotland,1994-06-17
Tony Cascarino,Republic of Ireland,16,FW, (1962-09-01),50,,Chelsea,England,1994-06-17
Eddie McGoldrick,Republic of Ireland,17,FW, (1965-04-30),12,,Arsenal,England,1994-06-17
Ronnie Whelan,Republic of Ireland,18,MF, (1961-09-25),50,,Liverpool,England,1994-06-17
Alan McLoughlin,Republic of Ireland,19,MF, (1967-04-20),17,,Portsmouth,England,1994-06-17
David Kelly,Republic of Ireland,20,FW, (1965-11-25),16,,Wolverhampton Wanderers,England,1994-06-17
Jason McAteer,Republic of Ireland,21,MF, (1971-06-18),5,,Bolton Wanderers,England,1994-06-17
Alan Kelly,Republic of Ireland,22,GK, (1968-08-11),3,,Sheffield United,England,1994-06-17
