Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Sergio Goycochea,Argentina,1,GK, (1963-10-17),36,,River Plate,Argentina
Sergio Vazquez,Argentina,2,DF, (1965-11-23),24,,Universidad Católica,Chile
José Chamot,Argentina,3,DF, (1969-05-17),9,,Foggia,Italy
Roberto Sensini,Argentina,4,DF, (1966-10-12),21,,Parma,Italy
Fernando Redondo,Argentina,5,MF, (1969-06-06),16,,Tenerife,Spain
Oscar Ruggeri,Argentina,6,DF, (1962-01-26),93,,San Lorenzo,Argentina
Claudio Caniggia,Argentina,7,FW, (1967-01-09),35,,Roma,Italy
José Basualdo,Argentina,8,MF, (1963-06-20),21,,Vélez Sársfield,Argentina
Gabriel Batistuta,Argentina,9,FW, (1969-02-01),33,,Fiorentina,Italy
Diego Maradona (c),Argentina,10,MF, (1960-10-30),89,,Free agent,Argentina
Ramón Medina Bello,Argentina,11,FW, (1966-04-29),10,,Yokohama Marinos,Japan
Luis Islas,Argentina,12,GK, (1965-12-22),27,,Independiente,Argentina
Fernando Cáceres,Argentina,13,DF, (1969-02-07),7,,Zaragoza,Spain
Diego Simeone,Argentina,14,MF, (1970-04-28),37,,Sevilla,Spain
Jorge Borelli,Argentina,15,DF, (1964-11-02),12,,Racing,Argentina
Hernán Díaz,Argentina,16,DF, (1965-02-26),21,,River Plate,Argentina
Ariel Ortega,Argentina,17,MF, (1974-03-04),10,,River Plate,Argentina
Hugo Pérez,Argentina,18,MF, (1968-10-06),8,,Independiente,Argentina
Abel Balbo,Argentina,19,FW, (1966-06-01),11,,Roma,Italy
Leonardo Rodríguez,Argentina,20,MF, (1966-08-27),24,,Borussia Dortmund,Germany
Alejandro Mancuso,Argentina,21,MF, (1968-09-04),5,,Boca Juniors,Argentina
Norberto Scoponi,Argentina,22,GK, (1961-01-13),0,,Newell's Old Boys,Argentina
