Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Yann Sommer,Switzerland,1,GK, (1988-12-17),77,0,Borussia Mönchengladbach,Germany,2022-11-20
Edimilson Fernandes,Switzerland,2,DF, (1996-04-15),22,2,Mainz 05,Germany,2022-11-20
Silvan Widmer,Switzerland,3,DF, (1993-03-05),34,2,Mainz 05,Germany,2022-11-20
Nico Elvedi,Switzerland,4,DF, (1996-09-30),41,1,Borussia Mönchengladbach,Germany,2022-11-20
Manuel Akanji,Switzerland,5,DF, (1995-07-19),43,1,Manchester City,England,2022-11-20
Denis Zakaria,Switzerland,6,MF, (1996-11-20),43,3,Chelsea,England,2022-11-20
Breel Embolo,Switzerland,7,FW, (1997-02-14),59,11,Monaco,France,2022-11-20
Remo Freuler,Switzerland,8,MF, (1992-04-15),49,5,Nottingham Forest,England,2022-11-20
Haris Seferovic,Switzerland,9,FW, (1992-02-22),89,25,Galatasaray,Turkey,2022-11-20
Granit Xhaka (captain),Switzerland,10,MF, (1992-09-27),107,12,Arsenal,England,2022-11-20
Renato Steffen,Switzerland,11,DF, (1991-11-03),28,1,Lugano,Switzerland,2022-11-20
Jonas Omlin,Switzerland,12,GK, (1994-01-10),4,0,Montpellier,France,2022-11-20
Ricardo Rodriguez,Switzerland,13,DF, (1992-08-25),100,9,Torino,Italy,2022-11-20
Michel Aebischer,Switzerland,14,MF, (1997-01-06),12,0,Bologna,Italy,2022-11-20
Djibril Sow,Switzerland,15,MF, (1997-02-06),32,0,Eintracht Frankfurt,Germany,2022-11-20
Christian Fassnacht,Switzerland,16,MF, (1993-11-11),16,4,Young Boys,Switzerland,2022-11-20
Ruben Vargas,Switzerland,17,FW, (1998-08-05),27,4,FC Augsburg,Germany,2022-11-20
Eray Cömert,Switzerland,18,DF, (1998-02-04),10,0,Valencia,Spain,2022-11-20
Noah Okafor,Switzerland,19,FW, (2000-05-24),9,2,Red Bull Salzburg,Austria,2022-11-20
Fabian Frei,Switzerland,20,MF, (1989-01-08),22,3,Basel,Switzerland,2022-11-20
Gregor Kobel,Switzerland,21,GK, (1997-12-06),3,0,Borussia Dortmund,Germany,2022-11-20
Fabian Schär,Switzerland,22,DF, (1991-12-20),73,8,Newcastle United,England,2022-11-20
Xherdan Shaqiri,Switzerland,23,MF, (1991-10-10),109,26,Chicago Fire FC,United States,2022-11-20
Philipp Köhn,Switzerland,24,GK, (1998-04-02),0,0,Red Bull Salzburg,Austria,2022-11-20
Fabian Rieder,Switzerland,25,MF, (2002-02-16),0,0,Young Boys,Switzerland,2022-11-20
Ardon Jashari,Switzerland,26,MF, (2002-07-30),1,0,Luzern,Switzerland,2022-11-20
