Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Remko Pasveer,Netherlands,1,GK, (1983-11-08),2,0,Ajax,Netherlands,2022-11-20
Jurriën Timber,Netherlands,2,DF, (2001-06-17),10,0,Ajax,Netherlands,2022-11-20
Matthijs de Ligt,Netherlands,3,DF, (1999-08-12),38,2,Bayern Munich,Germany,2022-11-20
Virgil van Dijk (captain),Netherlands,4,DF, (1991-07-08),49,6,Liverpool,England,2022-11-20
Nathan Aké,Netherlands,5,DF, (1995-02-18),29,3,Manchester City,England,2022-11-20
Stefan de Vrij,Netherlands,6,DF, (1992-02-05),59,3,Internazionale,Italy,2022-11-20
Steven Bergwijn,Netherlands,7,FW, (1997-10-08),24,7,Ajax,Netherlands,2022-11-20
Cody Gakpo,Netherlands,8,FW, (1999-05-07),9,3,PSV Eindhoven,Netherlands,2022-11-20
Luuk de Jong,Netherlands,9,FW, (1990-08-27),38,8,PSV Eindhoven,Netherlands,2022-11-20
Memphis Depay,Netherlands,10,FW, (1994-02-13),81,42,Barcelona,Spain,2022-11-20
Steven Berghuis,Netherlands,11,MF, (1991-12-19),39,2,Ajax,Netherlands,2022-11-20
Noa Lang,Netherlands,12,FW, (1999-06-17),5,1,Club Brugge,Belgium,2022-11-20
Justin Bijlow,Netherlands,13,GK, (1998-01-22),6,0,Feyenoord,Netherlands,2022-11-20
Davy Klaassen,Netherlands,14,MF, (1993-02-21),35,9,Ajax,Netherlands,2022-11-20
Marten de Roon,Netherlands,15,MF, (1991-03-29),30,0,Atalanta,Italy,2022-11-20
Tyrell Malacia,Netherlands,16,DF, (1999-08-17),6,0,Manchester United,England,2022-11-20
Daley Blind,Netherlands,17,DF, (1990-03-09),94,2,Ajax,Netherlands,2022-11-20
Vincent Janssen,Netherlands,18,FW, (1994-06-15),20,7,Antwerp,Belgium,2022-11-20
Wout Weghorst,Netherlands,19,FW, (1992-08-07),15,3,Beşiktaş,Turkey,2022-11-20
Teun Koopmeiners,Netherlands,20,MF, (1998-02-28),10,1,Atalanta,Italy,2022-11-20
Frenkie de Jong,Netherlands,21,MF, (1997-05-12),45,1,Barcelona,Spain,2022-11-20
Denzel Dumfries,Netherlands,22,DF, (1996-04-18),37,5,Internazionale,Italy,2022-11-20
Andries Noppert,Netherlands,23,GK, (1994-04-07),0,0,Heerenveen,Netherlands,2022-11-20
Kenneth Taylor,Netherlands,24,MF, (2002-05-16),2,0,Ajax,Netherlands,2022-11-20
Xavi Simons,Netherlands,25,MF, (2003-04-21),0,0,PSV Eindhoven,Netherlands,2022-11-20
Jeremie Frimpong,Netherlands,26,DF, (2000-12-10),0,0,Bayer Leverkusen,Germany,2022-11-20
