Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Wojciech Szczęsny,Poland,1,GK, (1990-04-18),66,0,Juventus,Italy,2022-11-20
Matty Cash,Poland,2,DF, (1997-08-07),7,1,Aston Villa,England,2022-11-20
Artur Jędrzejczyk,Poland,3,DF, (1987-11-04),40,3,Legia Warsaw,Poland,2022-11-20
Mateusz Wieteska,Poland,4,DF, (1997-02-11),2,0,Clermont,France,2022-11-20
Jan Bednarek,Poland,5,DF, (1996-04-12),45,1,Aston Villa,England,2022-11-20
Krystian Bielik,Poland,6,MF, (1998-01-04),5,0,Birmingham City,England,2022-11-20
Arkadiusz Milik,Poland,7,FW, (1994-02-28),64,16,Juventus,Italy,2022-11-20
Damian Szymański,Poland,8,MF, (1995-06-16),9,1,AEK Athens,Greece,2022-11-20
Robert Lewandowski (captain),Poland,9,FW, (1988-08-21),134,76,Barcelona,Spain,2022-11-20
Grzegorz Krychowiak,Poland,10,MF, (1990-01-29),94,5,Al-Shabab,Saudi Arabia,2022-11-20
Kamil Grosicki,Poland,11,MF, (1988-06-08),87,17,Pogoń Szczecin,Poland,2022-11-20
Łukasz Skorupski,Poland,12,GK, (1991-05-05),8,0,Bologna,Italy,2022-11-20
Jakub Kamiński,Poland,13,MF, (2002-06-05),4,1,VfL Wolfsburg,Germany,2022-11-20
Jakub Kiwior,Poland,14,DF, (2000-02-15),5,0,Spezia,Italy,2022-11-20
Kamil Glik,Poland,15,DF, (1988-02-03),99,6,Benevento,Italy,2022-11-20
Karol Świderski,Poland,16,FW, (1997-01-23),18,8,Charlotte FC,United States,2022-11-20
Szymon Żurkowski,Poland,17,MF, (1997-09-25),7,0,Fiorentina,Italy,2022-11-20
Bartosz Bereszyński,Poland,18,DF, (1992-07-12),46,0,Sampdoria,Italy,2022-11-20
Sebastian Szymański,Poland,19,MF, (1999-05-10),18,1,Feyenoord,Netherlands,2022-11-20
Piotr Zieliński,Poland,20,MF, (1994-05-20),74,9,Napoli,Italy,2022-11-20
Nicola Zalewski,Poland,21,MF, (2002-01-23),7,0,Roma,Italy,2022-11-20
Kamil Grabara,Poland,22,GK, (1999-01-08),1,0,Copenhagen,Denmark,2022-11-20
Krzysztof Piątek,Poland,23,FW, (1995-07-01),25,11,Salernitana,Italy,2022-11-20
Przemysław Frankowski,Poland,24,MF, (1995-04-12),26,1,Lens,France,2022-11-20
Robert Gumny,Poland,25,DF, (1998-06-04),5,0,FC Augsburg,Germany,2022-11-20
Michał Skóraś,Poland,26,MF, (2000-02-15),1,0,Lech Poznań,Poland,2022-11-20
