Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Lawrence Ati-Zigi,Ghana,1,GK, (1996-11-29),11,0,St. Gallen,Switzerland,2022-11-20
Tariq Lamptey,Ghana,2,DF, (2000-09-30),2,0,Brighton & Hove Albion,England,2022-11-20
Denis Odoi,Ghana,3,DF, (1988-05-27),4,0,Club Brugge,Belgium,2022-11-20
Mohammed Salisu,Ghana,4,DF, (1999-04-17),3,1,Southampton,England,2022-11-20
Thomas Partey,Ghana,5,MF, (1993-06-13),40,13,Arsenal,England,2022-11-20
Elisha Owusu,Ghana,6,MF, (1997-11-07),3,0,Gent,Belgium,2022-11-20
Abdul Fatawu Issahaku,Ghana,7,MF, (2004-03-08),13,1,Sporting CP,Portugal,2022-11-20
Daniel-Kofi Kyereh,Ghana,8,MF, (1996-03-08),15,0,SC Freiburg,Germany,2022-11-20
Jordan Ayew,Ghana,9,FW, (1991-09-11),84,19,Crystal Palace,England,2022-11-20
André Ayew (captain),Ghana,10,FW, (1989-12-17),110,23,Al-Sadd,Qatar,2022-11-20
Osman Bukari,Ghana,11,MF, (1998-12-13),7,1,Red Star Belgrade,Serbia,2022-11-20
Ibrahim Danlad,Ghana,12,GK, (2002-12-02),4,0,Asante Kotoko,Ghana,2022-11-20
Daniel Afriyie,Ghana,13,MF, (2001-06-26),7,3,Hearts of Oak,Ghana,2022-11-20
Gideon Mensah,Ghana,14,DF, (1998-07-18),12,0,Auxerre,France,2022-11-20
Joseph Aidoo,Ghana,15,DF, (1995-09-29),11,0,Celta Vigo,Spain,2022-11-20
Abdul Manaf Nurudeen,Ghana,16,GK, (1999-02-08),2,0,Eupen,Belgium,2022-11-20
Baba Rahman,Ghana,17,DF, (1994-07-02),48,1,Reading,England,2022-11-20
Daniel Amartey,Ghana,18,DF, (1994-12-21),46,0,Leicester City,England,2022-11-20
Iñaki Williams,Ghana,19,FW, (1994-06-15),3,0,Athletic Bilbao,Spain,2022-11-20
Mohammed Kudus,Ghana,20,MF, (2000-08-02),18,5,Ajax,Netherlands,2022-11-20
Salis Abdul Samed,Ghana,21,MF, (2000-03-26),1,0,Lens,France,2022-11-20
Kamaldeen Sulemana,Ghana,22,MF, (2002-02-15),13,0,Rennes,France,2022-11-20
Alexander Djiku,Ghana,23,DF, (1994-08-09),18,1,Strasbourg,France,2022-11-20
Kamal Sowah,Ghana,24,MF, (2000-01-09),1,0,Club Brugge,Belgium,2022-11-20
Antoine Semenyo,Ghana,25,FW, (2000-01-07),4,1,Bristol City,England,2022-11-20
Alidu Seidu,Ghana,26,DF, (2000-06-04),4,0,Clermont,France,2022-11-20
