Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Franco Armani,Argentina,1,GK, (1986-10-16),18,0,River Plate,Argentina,2022-11-20
Juan Foyth,Argentina,2,DF, (1998-01-12),16,0,Villarreal,Spain,2022-11-20
Nicolás Tagliafico,Argentina,3,DF, (1992-08-31),42,0,Lyon,France,2022-11-20
Gonzalo Montiel,Argentina,4,DF, (1997-01-01),18,0,Sevilla,Spain,2022-11-20
Leandro Paredes,Argentina,5,MF, (1994-06-29),46,4,Juventus,Italy,2022-11-20
Germán Pezzella,Argentina,6,DF, (1991-06-27),32,2,Real Betis,Spain,2022-11-20
Rodrigo De Paul,Argentina,7,MF, (1994-05-24),44,2,Atlético Madrid,Spain,2022-11-20
Marcos Acuña,Argentina,8,MF, (1991-10-28),43,0,Sevilla,Spain,2022-11-20
Julián Álvarez,Argentina,9,FW, (2000-01-31),12,3,Manchester City,England,2022-11-20
Lionel Messi (captain),Argentina,10,FW, (1987-06-24),165,91,Paris Saint-Germain,France,2022-11-20
Ángel Di María,Argentina,11,FW, (1988-02-14),124,27,Juventus,Italy,2022-11-20
Gerónimo Rulli,Argentina,12,GK, (1992-05-20),4,0,Villarreal,Spain,2022-11-20
Cristian Romero,Argentina,13,DF, (1998-04-27),12,1,Tottenham Hotspur,England,2022-11-20
Exequiel Palacios,Argentina,14,MF, (1998-10-05),20,0,Bayer Leverkusen,Germany,2022-11-20
Ángel Correa,Argentina,15,FW, (1995-03-09),22,3,Atlético Madrid,Spain,2022-11-20
Thiago Almada,Argentina,16,MF, (2001-04-26),1,0,Atlanta United FC,United States,2022-11-20
Papu Gómez,Argentina,17,MF, (1988-02-15),15,3,Sevilla,Spain,2022-11-20
Guido Rodríguez,Argentina,18,MF, (1994-04-12),26,1,Real Betis,Spain,2022-11-20
Nicolás Otamendi,Argentina,19,DF, (1988-02-12),93,4,Benfica,Portugal,2022-11-20
Alexis Mac Allister,Argentina,20,MF, (1998-12-24),8,0,Brighton & Hove Albion,England,2022-11-20
Paulo Dybala,Argentina,21,FW, (1993-11-15),34,3,Roma,Italy,2022-11-20
Lautaro Martínez,Argentina,22,FW, (1997-08-22),40,21,Internazionale,Italy,2022-11-20
Emiliano Martínez,Argentina,23,GK, (1992-09-02),19,0,Aston Villa,England,2022-11-20
Enzo Fernández,Argentina,24,MF, (2001-01-17),3,0,Benfica,Portugal,2022-11-20
Lisandro Martínez,Argentina,25,DF, (1998-01-18),10,0,Manchester United,England,2022-11-20
Nahuel Molina,Argentina,26,DF, (1998-04-06),20,0,Atlético Madrid,Spain,2022-11-20
