Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Kasper Schmeichel,Denmark,1,GK, (1986-11-05),86,0,Nice,France,2022-11-20
Joachim Andersen,Denmark,2,DF, (1996-05-31),19,0,Crystal Palace,England,2022-11-20
Victor Nelsson,Denmark,3,DF, (1998-10-14),7,0,Galatasaray,Turkey,2022-11-20
Simon Kjær (captain),Denmark,4,DF, (1989-03-26),121,5,Milan,Italy,2022-11-20
Joakim Mæhle,Denmark,5,DF, (1997-05-20),31,9,Atalanta,Italy,2022-11-20
Andreas Christensen,Denmark,6,DF, (1996-04-10),58,2,Barcelona,Spain,2022-11-20
Mathias Jensen,Denmark,7,MF, (1996-01-01),20,1,Brentford,England,2022-11-20
Thomas Delaney,Denmark,8,MF, (1991-09-03),71,7,Sevilla,Spain,2022-11-20
Martin Braithwaite,Denmark,9,FW, (1991-06-05),62,10,Espanyol,Spain,2022-11-20
Christian Eriksen,Denmark,10,MF, (1992-02-14),117,39,Manchester United,England,2022-11-20
Andreas Skov Olsen,Denmark,11,MF, (1999-12-29),23,8,Club Brugge,Belgium,2022-11-20
Kasper Dolberg,Denmark,12,FW, (1997-10-06),37,11,Sevilla,Spain,2022-11-20
Rasmus Kristensen,Denmark,13,DF, (1997-07-11),10,0,Leeds United,England,2022-11-20
Mikkel Damsgaard,Denmark,14,MF, (2000-07-03),18,4,Brentford,England,2022-11-20
Christian Nørgaard,Denmark,15,MF, (1994-03-10),17,1,Brentford,England,2022-11-20
Oliver Christensen,Denmark,16,GK, (1999-03-22),1,0,Hertha BSC,Germany,2022-11-20
Jens Stryger Larsen,Denmark,17,DF, (1991-02-21),49,3,Trabzonspor,Turkey,2022-11-20
Daniel Wass,Denmark,18,DF, (1989-05-31),44,1,Brøndby,Denmark,2022-11-20
Jonas Wind,Denmark,19,FW, (1999-02-07),15,5,VfL Wolfsburg,Germany,2022-11-20
Yussuf Poulsen,Denmark,20,FW, (1994-06-15),68,11,RB Leipzig,Germany,2022-11-20
Andreas Cornelius,Denmark,21,FW, (1993-03-16),41,9,Copenhagen,Denmark,2022-11-20
Frederik Rønnow,Denmark,22,GK, (1992-08-04),8,0,Union Berlin,Germany,2022-11-20
Pierre-Emile Højbjerg,Denmark,23,MF, (1995-08-05),60,5,Tottenham Hotspur,England,2022-11-20
Robert Skov,Denmark,24,MF, (1996-05-20),11,5,1899 Hoffenheim,Germany,2022-11-20
Jesper Lindstrøm,Denmark,25,MF, (2000-02-29),6,1,Eintracht Frankfurt,Germany,2022-11-20
Alexander Bah,Denmark,26,DF, (1997-12-09),4,1,Benfica,Portugal,2022-11-20
