Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Dominik Livaković,Croatia,1,GK, (1995-01-09),34,0,Dinamo Zagreb,Croatia,2022-11-20
Josip Stanišić,Croatia,2,DF, (2000-04-02),7,0,Bayern Munich,Germany,2022-11-20
Borna Barišić,Croatia,3,DF, (1992-11-10),28,1,Rangers,Scotland,2022-11-20
Ivan Perišić,Croatia,4,FW, (1989-02-02),116,32,Tottenham Hotspur,England,2022-11-20
Martin Erlić,Croatia,5,DF, (1998-01-24),4,0,Sassuolo,Italy,2022-11-20
Dejan Lovren,Croatia,6,DF, (1989-07-05),72,5,Zenit Saint Petersburg,Russia,2022-11-20
Lovro Majer,Croatia,7,MF, (1998-01-17),11,3,Rennes,France,2022-11-20
Mateo Kovačić,Croatia,8,MF, (1994-05-06),84,3,Chelsea,England,2022-11-20
Andrej Kramarić,Croatia,9,FW, (1991-06-19),74,20,1899 Hoffenheim,Germany,2022-11-20
Luka Modrić (captain),Croatia,10,MF, (1985-09-09),155,23,Real Madrid,Spain,2022-11-20
Marcelo Brozović,Croatia,11,MF, (1992-11-16),77,7,Internazionale,Italy,2022-11-20
Ivo Grbić,Croatia,12,GK, (1996-01-18),2,0,Atlético Madrid,Spain,2022-11-20
Nikola Vlašić,Croatia,13,MF, (1997-10-04),42,7,Torino,Italy,2022-11-20
Marko Livaja,Croatia,14,FW, (1993-08-26),14,3,Hajduk Split,Croatia,2022-11-20
Mario Pašalić,Croatia,15,MF, (1995-02-09),43,7,Atalanta,Italy,2022-11-20
Bruno Petković,Croatia,16,FW, (1994-09-16),23,6,Dinamo Zagreb,Croatia,2022-11-20
Ante Budimir,Croatia,17,FW, (1991-07-22),15,1,Osasuna,Spain,2022-11-20
Mislav Oršić,Croatia,18,FW, (1992-12-29),21,1,Dinamo Zagreb,Croatia,2022-11-20
Borna Sosa,Croatia,19,DF, (1998-01-21),8,1,VfB Stuttgart,Germany,2022-11-20
Joško Gvardiol,Croatia,20,DF, (2002-01-23),12,1,RB Leipzig,Germany,2022-11-20
Domagoj Vida,Croatia,21,DF, (1989-04-29),100,4,AEK Athens,Greece,2022-11-20
Josip Juranović,Croatia,22,DF, (1995-08-16),21,0,Celtic,Scotland,2022-11-20
Ivica Ivušić,Croatia,23,GK, (1995-02-01),5,0,Osijek,Croatia,2022-11-20
Josip Šutalo,Croatia,24,DF, (2000-02-28),3,0,Dinamo Zagreb,Croatia,2022-11-20
Luka Sučić,Croatia,25,MF, (2002-09-08),4,0,Red Bull Salzburg,Austria,2022-11-20
Kristijan Jakić,Croatia,26,MF, (1997-05-14),4,0,Eintracht Frankfurt,Germany,2022-11-20
