Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Eiji Kawashima,Japan,1,GK, (1983-03-20),95,0,Strasbourg,France,2022-11-20
Miki Yamane,Japan,2,DF, (1993-12-22),15,2,Kawasaki Frontale,Japan,2022-11-20
Shogo Taniguchi,Japan,3,DF, (1991-07-15),14,0,Kawasaki Frontale,Japan,2022-11-20
Ko Itakura,Japan,4,DF, (1997-01-27),13,1,Borussia Mönchengladbach,Germany,2022-11-20
Yuto Nagatomo,Japan,5,DF, (1986-09-12),138,4,FC Tokyo,Japan,2022-11-20
Wataru Endo,Japan,6,MF, (1993-02-09),43,2,VfB Stuttgart,Germany,2022-11-20
Gaku Shibasaki,Japan,7,MF, (1992-05-28),60,3,Leganés,Spain,2022-11-20
Ritsu Dōan,Japan,8,MF, (1998-06-16),29,3,SC Freiburg,Germany,2022-11-20
Kaoru Mitoma,Japan,9,MF, (1997-05-20),9,5,Brighton & Hove Albion,England,2022-11-20
Takumi Minamino,Japan,10,MF, (1995-01-16),44,17,Monaco,France,2022-11-20
Takefusa Kubo,Japan,11,MF, (2001-06-04),20,1,Real Sociedad,Spain,2022-11-20
Shūichi Gonda,Japan,12,GK, (1989-03-03),34,0,Shimizu S-Pulse,Japan,2022-11-20
Hidemasa Morita,Japan,13,MF, (1995-05-10),17,2,Sporting CP,Portugal,2022-11-20
Junya Ito,Japan,14,MF, (1993-03-09),38,9,Reims,France,2022-11-20
Daichi Kamada,Japan,15,MF, (1996-08-05),22,6,Eintracht Frankfurt,Germany,2022-11-20
Takehiro Tomiyasu,Japan,16,DF, (1998-11-05),29,1,Arsenal,England,2022-11-20
Ao Tanaka,Japan,17,MF, (1998-09-10),15,2,Fortuna Düsseldorf,Germany,2022-11-20
Takuma Asano,Japan,18,FW, (1994-11-10),37,7,VfL Bochum,Germany,2022-11-20
Hiroki Sakai,Japan,19,DF, (1990-04-12),72,1,Urawa Red Diamonds,Japan,2022-11-20
Shuto Machino,Japan,20,FW, (1999-09-30),4,3,Shonan Bellmare,Japan,2022-11-20
Ayase Ueda,Japan,21,FW, (1998-08-28),11,0,Cercle Brugge,Belgium,2022-11-20
Maya Yoshida (captain),Japan,22,DF, (1988-08-24),122,12,Schalke 04,Germany,2022-11-20
Daniel Schmidt,Japan,23,GK, (1992-02-03),11,0,Sint-Truiden,Belgium,2022-11-20
Yuki Soma,Japan,24,MF, (1997-02-25),8,4,Nagoya Grampus,Japan,2022-11-20
Daizen Maeda,Japan,25,FW, (1997-10-20),8,1,Celtic,Scotland,2022-11-20
Hiroki Ito,Japan,26,DF, (1999-05-12),6,0,VfB Stuttgart,Germany,2022-11-20
