Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Thibaut Courtois,Belgium,1,GK, (1992-05-11),97,0,Real Madrid,Spain
Toby Alderweireld,Belgium,2,DF, (1989-03-02),124,5,Antwerp,Belgium
Arthur Theate,Belgium,3,DF, (2000-05-25),4,0,Rennes,France
Wout Faes,Belgium,4,DF, (1998-04-03),1,0,Leicester City,England
Jan Vertonghen,Belgium,5,DF, (1987-04-24),142,9,Anderlecht,Belgium
Axel Witsel,Belgium,6,MF, (1989-01-12),127,12,Atlético Madrid,Spain
Kevin De Bruyne,Belgium,7,MF, (1991-06-28),94,25,Manchester City,England
Youri Tielemans,Belgium,8,MF, (1997-05-07),55,5,Leicester City,England
Romelu Lukaku,Belgium,9,FW, (1993-05-13),102,68,Internazionale,Italy
Eden Hazard (captain),Belgium,10,FW, (1991-01-07),123,33,Real Madrid,Spain
Yannick Carrasco,Belgium,11,FW, (1993-09-04),60,8,Atlético Madrid,Spain
Simon Mignolet,Belgium,12,GK, (1988-03-06),35,0,Club Brugge,Belgium
Koen Casteels,Belgium,13,GK, (1992-06-25),4,0,VfL Wolfsburg,Germany
Dries Mertens,Belgium,14,FW, (1987-05-06),107,21,Galatasaray,Turkey
Thomas Meunier,Belgium,15,MF, (1991-09-12),59,8,Borussia Dortmund,Germany
Thorgan Hazard,Belgium,16,MF, (1993-03-29),45,9,Borussia Dortmund,Germany
Leandro Trossard,Belgium,17,FW, (1994-12-04),21,5,Brighton & Hove Albion,England
Amadou Onana,Belgium,18,MF, (2001-08-16),2,0,Everton,England
Leander Dendoncker,Belgium,19,DF, (1995-04-15),29,1,Aston Villa,England
Hans Vanaken,Belgium,20,MF, (1992-08-24),23,5,Club Brugge,Belgium
Timothy Castagne,Belgium,21,MF, (1995-12-05),26,2,Leicester City,England
Charles De Ketelaere,Belgium,22,FW, (2001-03-10),10,1,Milan,Italy
Michy Batshuayi,Belgium,23,FW, (1993-10-02),48,26,Fenerbahçe,Turkey
Loïs Openda,Belgium,24,FW, (2000-02-16),5,2,Lens,France
Jérémy Doku,Belgium,25,FW, (2002-05-27),11,2,Rennes,France
Zeno Debast,Belgium,26,DF, (2003-10-24),3,0,Anderlecht,Belgium
