Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Yoshikatsu Kawaguchi,Japan,1,GK, (1975-08-15),43,,Portsmouth,England,2002-05-31
Yutaka Akita,Japan,2,DF, (1970-08-06),38,,Kashima Antlers,Japan,2002-05-31
Naoki Matsuda,Japan,3,DF, (1977-03-14),24,,Yokohama F. Marinos,Japan,2002-05-31
Ryuzo Morioka,Japan,4,DF, (1975-10-07),32,,Shimizu S-Pulse,Japan,2002-05-31
Junichi Inamoto,Japan,5,MF, (1979-09-18),22,,Arsenal,England,2002-05-31
Toshihiro Hattori,Japan,6,DF, (1973-09-23),35,,Júbilo Iwata,Japan,2002-05-31
Hidetoshi Nakata,Japan,7,MF, (1977-01-22),39,,Parma,Italy,2002-05-31
Hiroaki Morishima,Japan,8,MF, (1972-04-30),57,,Cerezo Osaka,Japan,2002-05-31
Akinori Nishizawa,Japan,9,FW, (1976-06-18),24,,Cerezo Osaka,Japan,2002-05-31
Masashi Nakayama,Japan,10,FW, (1967-09-23),47,,Júbilo Iwata,Japan,2002-05-31
Takayuki Suzuki,Japan,11,FW, (1976-06-05),10,,Kashima Antlers,Japan,2002-05-31
Seigo Narazaki,Japan,12,GK, (1976-04-15),15,,Nagoya Grampus Eight,Japan,2002-05-31
Atsushi Yanagisawa,Japan,13,FW, (1977-05-27),22,,Kashima Antlers,Japan,2002-05-31
Alex,Japan,14,MF, (1977-07-20),0,,Shimizu S-Pulse,Japan,2002-05-31
Takashi Fukunishi,Japan,15,MF, (1976-09-01),5,,Júbilo Iwata,Japan,2002-05-31
Kōji Nakata,Japan,16,DF, (1979-07-09),20,,Kashima Antlers,Japan,2002-05-31
Tsuneyasu Miyamoto (c),Japan,17,DF, (1977-02-07),5,,Gamba Osaka,Japan,2002-05-31
Shinji Ono,Japan,18,MF, (1979-09-27),21,,Feyenoord,Netherlands,2002-05-31
Mitsuo Ogasawara,Japan,19,MF, (1979-04-05),0,,Kashima Antlers,Japan,2002-05-31
Tomokazu Myojin,Japan,20,MF, (1978-01-24),16,,Kashiwa Reysol,Japan,2002-05-31
Kazuyuki Toda,Japan,21,MF, (1977-12-30),10,,Shimizu S-Pulse,Japan,2002-05-31
Daisuke Ichikawa,Japan,22,MF, (1980-05-14),1,,Shimizu S-Pulse,Japan,2002-05-31
Hitoshi Sogahata,Japan,23,GK, (1979-08-02),1,,Kashima Antlers,Japan,2002-05-31
