Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Hans Vonk,South Africa,1,GK, (1970-01-30),29,,Heerenveen,Netherlands,2002-05-31
Cyril Nzama,South Africa,2,DF, (1974-06-26),19,,Kaizer Chiefs,South Africa,2002-05-31
Bradley Carnell,South Africa,3,DF, (1977-01-21),21,,VfB Stuttgart,Germany,2002-05-31
Aaron Mokoena,South Africa,4,DF, (1980-11-25),22,,Germinal Beerschot,Belgium,2002-05-31
Jacob Lekgetho,South Africa,5,DF, (1974-03-24),15,,Lokomotiv Moscow,Russia,2002-05-31
MacBeth Sibaya,South Africa,6,MF, (1977-11-25),9,,Jomo Cosmos,South Africa,2002-05-31
Quinton Fortune,South Africa,7,MF, (1977-05-21),39,,Manchester United,England,2002-05-31
Thabo Mngomeni,South Africa,8,MF, (1969-06-24),37,,Orlando Pirates,South Africa,2002-05-31
MacDonald Mukansi,South Africa,9,MF, (1975-05-26),7,,Lokomotiv Sofia,Bulgaria,2002-05-31
Bennett Mnguni,South Africa,10,MF, (1974-03-18),9,,Lokomotiv Moscow,Russia,2002-05-31
Jabu Pule,South Africa,11,MF, (1980-07-11),9,,Kaizer Chiefs,South Africa,2002-05-31
Teboho Mokoena,South Africa,12,MF, (1974-07-10),10,,St. Gallen,Switzerland,2002-05-31
Pierre Issa,South Africa,13,DF, (1975-09-12),41,,Watford,England,2002-05-31
Siyabonga Nomvethe,South Africa,14,FW, (1977-12-02),30,,Udinese,Italy,2002-05-31
Sibusiso Zuma,South Africa,15,MF, (1975-06-23),22,,Copenhagen,Denmark,2002-05-31
Andre Arendse,South Africa,16,GK, (1967-06-27),49,,Santos Cape Town,South Africa,2002-05-31
Benni McCarthy,South Africa,17,FW, (1977-11-12),43,,Porto,Portugal,2002-05-31
Delron Buckley,South Africa,18,MF, (1977-12-07),32,,VfL Bochum,Germany,2002-05-31
Lucas Radebe (c),South Africa,19,DF, (1969-04-12),65,,Leeds United,England,2002-05-31
Calvin Marlin,South Africa,20,GK, (1976-04-20),2,,Ajax Cape Town,South Africa,2002-05-31
Steven Pienaar,South Africa,21,MF, (1982-03-17),0,,Ajax,Netherlands,2002-05-31
Thabang Molefe,South Africa,22,DF, (1979-04-11),5,,Jomo Cosmos,South Africa,2002-05-31
George Koumantarakis,South Africa,23,FW, (1974-03-27),6,,Basel,Switzerland,2002-05-31
