Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Stipe Pletikosa,Croatia,1,GK, (1979-01-08),17,,Hajduk Split,Croatia,2002-05-31
Anthony Šerić,Croatia,2,DF, (1979-01-15),8,,Hellas Verona,Italy,2002-05-31
Josip Šimunić,Croatia,3,DF, (1978-02-18),6,,Hertha BSC,Germany,2002-05-31
Stjepan Tomas,Croatia,4,DF, (1976-03-06),17,,Vicenza,Italy,2002-05-31
Milan Rapaić,Croatia,5,MF, (1973-08-16),23,,Fenerbahçe,Turkey,2002-05-31
Boris Živković,Croatia,6,DF, (1975-11-15),15,,Bayer Leverkusen,Germany,2002-05-31
Davor Vugrinec,Croatia,7,FW, (1975-03-24),21,,Lecce,Italy,2002-05-31
Robert Prosinečki,Croatia,8,MF, (1969-01-12),48,,Portsmouth,England,2002-05-31
Davor Šuker (c),Croatia,9,FW, (1968-01-01),68,,1860 Munich,Germany,2002-05-31
Niko Kovač,Croatia,10,MF, (1971-10-15),20,,Bayern Munich,Germany,2002-05-31
Alen Bokšić,Croatia,11,FW, (1970-01-21),36,,Middlesbrough,England,2002-05-31
Tomislav Butina,Croatia,12,GK, (1974-03-30),7,,Dinamo Zagreb,Croatia,2002-05-31
Mario Stanić,Croatia,13,MF, (1972-04-10),43,,Chelsea,England,2002-05-31
Zvonimir Soldo,Croatia,14,MF, (1967-11-02),59,,VfB Stuttgart,Germany,2002-05-31
Daniel Šarić,Croatia,15,DF, (1972-08-04),25,,Panathinaikos,Greece,2002-05-31
Jurica Vranješ,Croatia,16,MF, (1980-01-31),7,,Bayer Leverkusen,Germany,2002-05-31
Robert Jarni,Croatia,17,DF, (1968-10-26),78,,Panathinaikos,Greece,2002-05-31
Ivica Olić,Croatia,18,FW, (1979-09-14),4,,Zagreb,Croatia,2002-05-31
Goran Vlaović,Croatia,19,FW, (1972-08-07),50,,Panathinaikos,Greece,2002-05-31
Dario Šimić,Croatia,20,DF, (1975-11-12),48,,Inter Milan,Italy,2002-05-31
Robert Kovač,Croatia,21,DF, (1974-04-06),19,,Bayern Munich,Germany,2002-05-31
Boško Balaban,Croatia,22,FW, (1978-10-15),13,,Aston Villa,England,2002-05-31
Vladimir Vasilj,Croatia,23,GK, (1975-07-06),2,,Zagreb,Croatia,2002-05-31
