Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Ali Boumnijel,Tunisia,1,GK, (1966-04-13),14,,Bastia,France,2002-05-31
Khaled Badra (c),Tunisia,2,DF, (1973-04-08),72,,Espérance de Tunis,Tunisia,2002-05-31
Zoubeir Baya,Tunisia,3,MF, (1971-05-15),77,,Beşiktaş,Turkey,2002-05-31
Mohamed Mkacher,Tunisia,4,DF, (1975-05-25),15,,Étoile du Sahel,Tunisia,2002-05-31
Ziad Jaziri,Tunisia,5,FW, (1978-07-12),26,,Étoile du Sahel,Tunisia,2002-05-31
Hatem Trabelsi,Tunisia,6,DF, (1977-01-25),27,,Ajax,Netherlands,2002-05-31
Imed Mhedhebi,Tunisia,7,FW, (1976-03-22),30,,Genoa,Italy,2002-05-31
Hassen Gabsi,Tunisia,8,MF, (1974-02-23),48,,Genoa,Italy,2002-05-31
Riadh Jelassi,Tunisia,9,FW, (1971-07-07),20,,Club Africain,Tunisia,2002-05-31
Kaies Ghodhbane,Tunisia,10,MF, (1976-01-07),62,,Étoile du Sahel,Tunisia,2002-05-31
Adel Sellimi,Tunisia,11,FW, (1972-11-16),64,,SC Freiburg,Germany,2002-05-31
Raouf Bouzaiene,Tunisia,12,DF, (1970-08-16),39,,Genoa,Italy,2002-05-31
Riadh Bouazizi,Tunisia,13,MF, (1973-04-08),47,,Bursaspor,Turkey,2002-05-31
Hamdi Marzouki,Tunisia,14,DF, (1977-01-23),7,,Club Africain,Tunisia,2002-05-31
Radhi Jaïdi,Tunisia,15,DF, (1975-08-30),40,,Espérance de Tunis,Tunisia,2002-05-31
Hassen Bejaoui,Tunisia,16,GK, (1976-02-14),2,,Bizertin,Tunisia,2002-05-31
Tarek Thabet,Tunisia,17,DF, (1971-08-16),70,,Espérance de Tunis,Tunisia,2002-05-31
Selim Benachour,Tunisia,18,MF, (1981-09-08),3,,Martigues,France,2002-05-31
Emir Mkademi,Tunisia,19,DF, (1978-08-20),9,,Étoile du Sahel,Tunisia,2002-05-31
Ali Zitouni,Tunisia,20,FW, (1981-01-11),23,,Espérance de Tunis,Tunisia,2002-05-31
Mourad Melki,Tunisia,21,MF, (1975-05-09),11,,Espérance de Tunis,Tunisia,2002-05-31
Ahmed El-Jaouachi,Tunisia,22,GK, (1975-07-13),0,,Monastir,Tunisia,2002-05-31
José Clayton,Tunisia,23,DF, (1974-03-21),12,,Espérance de Tunis,Tunisia,2002-05-31
