Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Rumyancho Goranov,Bulgaria,1,GK, (1950-03-17),21,,Lokomotiv Sofia,Bulgaria,1974-06-13
Ivan Zafirov,Bulgaria,2,DF, (1947-12-30),30,,CSKA SZ Sofia,Bulgaria,1974-06-13
Dobromir Zhechev,Bulgaria,3,DF, (1942-11-12),73,,Levski-Spartak Sofia,Bulgaria,1974-06-13
Stefko Velichkov,Bulgaria,4,MF, (1949-02-15),22,,Etar Veliko Tarnovo,Bulgaria,1974-06-13
Bozhil Kolev,Bulgaria,5,DF, (1949-05-20),35,,CSKA SZ Sofia,Bulgaria,1974-06-13
Dimitar Penev,Bulgaria,6,DF, (1945-07-12),83,,CSKA SZ Sofia,Bulgaria,1974-06-13
Voyn Voynov,Bulgaria,7,FW, (1952-09-07),11,,Levski-Spartak Sofia,Bulgaria,1974-06-13
Hristo Bonev (c),Bulgaria,8,FW, (1947-02-03),68,,DFS Lokomotiv Plovdiv,Bulgaria,1974-06-13
Atanas Mihailov,Bulgaria,9,FW, (1949-07-05),40,,Lokomotiv Sofia,Bulgaria,1974-06-13
Ivan Stoyanov,Bulgaria,10,MF, (1949-01-20),18,,Levski-Spartak Sofia,Bulgaria,1974-06-13
Georgi Denev,Bulgaria,11,MF, (1950-04-18),29,,CSKA SZ Sofia,Bulgaria,1974-06-13
Stefan Aladzhov,Bulgaria,12,DF, (1947-10-18),27,,Levski-Spartak Sofia,Bulgaria,1974-06-13
Mladen Vasilev,Bulgaria,13,DF, (1947-07-29),25,,Akademik Sofia,Bulgaria,1974-06-13
Kiril Milanov,Bulgaria,14,FW, (1948-10-17),9,,Levski-Spartak Sofia,Bulgaria,1974-06-13
Pavel Panov,Bulgaria,15,FW, (1950-09-14),10,,Levski-Spartak Sofia,Bulgaria,1974-06-13
Bozhidar Grigorov,Bulgaria,16,FW, (1945-07-27),4,,Slavia Sofia,Bulgaria,1974-06-13
Asparuh Nikodimov,Bulgaria,17,MF, (1945-08-21),23,,CSKA SZ Sofia,Bulgaria,1974-06-13
Tsonyo Vasilev,Bulgaria,18,MF, (1952-01-07),6,,CSKA SZ Sofia,Bulgaria,1974-06-13
Kiril Ivkov,Bulgaria,19,MF, (1946-06-21),22,,Levski-Spartak Sofia,Bulgaria,1974-06-13
Krasimir Borisov,Bulgaria,20,FW, (1950-04-08),7,,Levski-Spartak Sofia,Bulgaria,1974-06-13
Stefan Staykov,Bulgaria,21,GK, (1949-10-03),5,,Levski-Spartak Sofia,Bulgaria,1974-06-13
Simeon Simeonov,Bulgaria,22,GK, (1946-04-26),34,,Slavia Sofia,Bulgaria,1974-06-13
