Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Sepp Maier,West Germany,1,GK, (1944-02-28),50,,Bayern Munich,West Germany,1974-06-13
Berti Vogts,West Germany,2,DF, (1946-12-30),51,,Borussia Mönchengladbach,West Germany,1974-06-13
Paul Breitner,West Germany,3,DF, (1951-09-05),19,,Bayern Munich,West Germany,1974-06-13
Hans-Georg Schwarzenbeck,West Germany,4,DF, (1948-04-03),23,,Bayern Munich,West Germany,1974-06-13
Franz Beckenbauer (c),West Germany,5,DF, (1945-09-11),78,,Bayern Munich,West Germany,1974-06-13
Horst-Dieter Höttges,West Germany,6,DF, (1943-09-10),65,,Werder Bremen,West Germany,1974-06-13
Herbert Wimmer,West Germany,7,MF, (1944-11-09),23,,Borussia Mönchengladbach,West Germany,1974-06-13
Bernhard Cullmann,West Germany,8,MF, (1949-11-01),12,,1. FC Köln,West Germany,1974-06-13
Jürgen Grabowski,West Germany,9,FW, (1944-07-07),38,,Eintracht Frankfurt,West Germany,1974-06-13
Günter Netzer,West Germany,10,MF, (1944-09-14),34,,Real Madrid,Spain,1974-06-13
Jupp Heynckes,West Germany,11,FW, (1945-05-09),28,,Borussia Mönchengladbach,West Germany,1974-06-13
Wolfgang Overath,West Germany,12,MF, (1943-09-29),74,,1. FC Köln,West Germany,1974-06-13
Gerd Müller,West Germany,13,FW, (1945-11-03),55,,Bayern Munich,West Germany,1974-06-13
Uli Hoeneß,West Germany,14,FW, (1952-01-05),20,,Bayern Munich,West Germany,1974-06-13
Heinz Flohe,West Germany,15,MF, (1948-01-28),14,,1. FC Köln,West Germany,1974-06-13
Rainer Bonhof,West Germany,16,MF, (1952-03-29),4,,Borussia Mönchengladbach,West Germany,1974-06-13
Bernd Hölzenbein,West Germany,17,MF, (1946-03-09),4,,Eintracht Frankfurt,West Germany,1974-06-13
Dieter Herzog,West Germany,18,FW, (1946-07-15),2,,Fortuna Düsseldorf,West Germany,1974-06-13
Jupp Kapellmann,West Germany,19,DF, (1949-12-19),3,,Bayern Munich,West Germany,1974-06-13
Helmut Kremers,West Germany,20,DF, (1949-03-24),5,,Schalke 04,West Germany,1974-06-13
Norbert Nigbur,West Germany,21,GK, (1948-05-08),2,,Schalke 04,West Germany,1974-06-13
Wolfgang Kleff,West Germany,22,GK, (1946-11-16),6,,Borussia Mönchengladbach,West Germany,1974-06-13
