Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Ruud Geels,Netherlands,1,MF, (1948-07-28),3,,Club Brugge,Belgium
Arie Haan,Netherlands,2,MF, (1948-11-16),10,,Ajax,Netherlands
Willem van Hanegem,Netherlands,3,MF, (1944-02-20),29,,Feyenoord,Netherlands
Kees van Ierssel,Netherlands,4,DF, (1945-12-06),4,,Twente,Netherlands
Rinus Israël,Netherlands,5,DF, (1942-03-19),44,,Feyenoord,Netherlands
Wim Jansen,Netherlands,6,DF, (1946-10-28),25,,Feyenoord,Netherlands
Theo de Jong,Netherlands,7,MF, (1947-08-11),8,,Feyenoord,Netherlands
Jan Jongbloed,Netherlands,8,GK, (1940-11-25),2,,FC Amsterdam,Netherlands
Piet Keizer,Netherlands,9,FW, (1943-06-14),33,,Ajax,Netherlands
René van de Kerkhof,Netherlands,10,MF, (1951-09-16),5,,PSV Eindhoven,Netherlands
Willy van de Kerkhof,Netherlands,11,MF, (1951-09-16),1,,PSV Eindhoven,Netherlands
Ruud Krol,Netherlands,12,DF, (1949-03-24),20,,Ajax,Netherlands
Johan Neeskens,Netherlands,13,MF, (1951-09-15),17,,Ajax,Netherlands
Johan Cruyff (c),Netherlands,14,MF, (1947-04-25),28,,Barcelona,Spain
Rob Rensenbrink,Netherlands,15,FW, (1947-07-03),13,,Anderlecht,Belgium
Johnny Rep,Netherlands,16,FW, (1951-11-25),5,,Ajax,Netherlands
Wim Rijsbergen,Netherlands,17,DF, (1952-01-18),1,,Feyenoord,Netherlands
Piet Schrijvers,Netherlands,18,GK, (1946-12-15),5,,Twente,Netherlands
Pleun Strik,Netherlands,19,DF, (1944-05-27),8,,PSV Eindhoven,Netherlands
Wim Suurbier,Netherlands,20,DF, (1945-01-16),27,,Ajax,Netherlands
Eddy Treijtel,Netherlands,21,GK, (1946-05-28),4,,Feyenoord,Netherlands
Harry Vos,Netherlands,22,DF, (1946-09-04),0,,Feyenoord,Netherlands
