Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Lee Woon-jae (c),South Korea,1,GK, (1973-04-26),97,,Suwon Samsung Bluewings,South Korea
Kim Young-chul,South Korea,2,DF, (1976-06-30),12,,Seongnam Ilhwa Chunma,South Korea
Kim Dong-jin,South Korea,3,DF, (1982-01-29),34,,FC Seoul,South Korea
Choi Jin-cheul,South Korea,4,DF, (1971-03-26),62,,Jeonbuk Hyundai Motors,South Korea
Kim Nam-il,South Korea,5,MF, (1977-03-14),66,,Suwon Samsung Bluewings,South Korea
Kim Jin-kyu,South Korea,6,DF, (1985-02-16),23,,Júbilo Iwata,Japan
Park Ji-sung,South Korea,7,MF, (1981-02-25),60,,Manchester United,England
Kim Do-heon,South Korea,8,MF, (1982-07-14),75,,Seongnam Ilhwa Chunma,South Korea
Ahn Jung-hwan,South Korea,9,FW, (1976-01-27),61,,MSV Duisburg,Germany
Park Chu-young,South Korea,10,FW, (1985-07-10),18,,FC Seoul,South Korea
Seol Ki-hyeon,South Korea,11,FW, (1979-01-08),67,,Wolverhampton Wanderers,England
Lee Young-pyo,South Korea,12,DF, (1977-04-23),85,,Tottenham Hotspur,England
Lee Eul-yong,South Korea,13,MF, (1975-09-08),47,,Trabzonspor,Turkey
Lee Chun-soo,South Korea,14,FW, (1981-07-09),62,,Ulsan Hyundai Horangi,South Korea
Baek Ji-hoon,South Korea,15,MF, (1985-02-28),12,,FC Seoul,South Korea
Chung Kyung-ho,South Korea,16,FW, (1980-05-22),40,,Gwangju Sangmu Phoenix,South Korea
Lee Ho,South Korea,17,MF, (1984-10-22),11,,Ulsan Hyundai Horangi,South Korea
Kim Sang-sik,South Korea,18,DF, (1976-12-17),42,,Seongnam Ilhwa Chunma,South Korea
Cho Jae-jin,South Korea,19,FW, (1981-07-09),21,,Shimizu S-Pulse,Japan
Kim Yong-dae,South Korea,20,GK, (1979-10-11),15,,Seongnam Ilhwa Chunma,South Korea
Kim Young-kwang,South Korea,21,GK, (1983-06-28),6,,Jeonnam Dragons,South Korea
Song Chong-gug,South Korea,22,DF, (1979-02-20),51,,Suwon Samsung Bluewings,South Korea
Cho Won-hee,South Korea,23,DF, (1983-04-17),13,,Suwon Samsung Bluewings,South Korea
