Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Henock Abrahamsson,Sweden,,GK, (1909-10-29),0,,Gårda BK,Sweden,1938-06-04
Erik Almgren,Sweden,,MF, (1908-01-28),5,,AIK,Sweden,1938-06-04
Åke Andersson,Sweden,,FW, (1917-04-22),2,,GAIS,Sweden,1938-06-04
Harry Andersson,Sweden,,FW, (1913-03-07),0,,IK Sleipner,Sweden,1938-06-04
Curt Bergsten[B],Sweden,,FW, (1915-08-21),6,,Landskrona BoIS,Sweden,1938-06-04
Lennart Bunke[B],Sweden,,FW, (1912-04-03),11,,Helsingborgs IF,Sweden,1938-06-04
Ivar Eriksson,Sweden,,DF, (1909-12-25),1,,Sandvikens IF,Sweden,1938-06-04
Karl-Erik Grahn[B],Sweden,,MF, (1914-11-05),15,,IF Elfsborg,Sweden,1938-06-04
Knut Hansson[B],Sweden,,FW, (1911-05-09),4,,Landskrona BoIS,Sweden,1938-06-04
Sven Jacobsson,Sweden,,MF, (1914-04-17),2,,GAIS,Sweden,1938-06-04
Sven Jonasson,Sweden,,FW, (1909-07-09),28,,IF Elfsborg,Sweden,1938-06-04
Olle Källgren,Sweden,,DF, (1907-09-07),6,,Sandvikens IF,Sweden,1938-06-04
Tore Keller,Sweden,,FW, (1905-01-04),22,,IK Sleipner,Sweden,1938-06-04
Arne Linderholm,Sweden,,MF, (1916-02-22),0,,IK Sleipner,Sweden,1938-06-04
Erik Nilsson,Sweden,,DF, (1916-08-06),0,,Malmö FF,Sweden,1938-06-04
Harry Nilsson[B],Sweden,,DF, ( 1916-01-05),0,,Landskrona BoIS,Sweden,1938-06-04
Arne Nyberg,Sweden,,FW, (1913-06-20),2,,IFK Göteborg,Sweden,1938-06-04
Erik Persson,Sweden,,FW, (1909-11-19),27,,AIK,Sweden,1938-06-04
Gustav Sjöberg,Sweden,,GK, (1913-03-23),7,,AIK,Sweden,1938-06-04
Kurt Svanström,Sweden,,MF, (1915-03-24),4,,Örgryte IS,Sweden,1938-06-04
Sven Unger[B],Sweden,,FW,"
",0,,IK Sleipner,Sweden,1938-06-04
Gustav Wetterström,Sweden,,FW, (1911-10-15),4,,IK Sleipner,Sweden,1938-06-04
