Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Edwin van der Sar,Netherlands,1,GK, (1970-10-29),25,,Ajax,Netherlands
Michael Reiziger,Netherlands,2,DF, (1973-05-03),26,,Barcelona,Spain
Jaap Stam,Netherlands,3,DF, (1972-07-17),14,,PSV Eindhoven,Netherlands
Frank de Boer (captain),Netherlands,4,DF, (1970-05-15),55,,Ajax,Netherlands
Arthur Numan,Netherlands,5,DF, (1969-12-14),29,,PSV Eindhoven,Netherlands
Wim Jonk,Netherlands,6,MF, (1966-10-12),42,,PSV Eindhoven,Netherlands
Ronald de Boer,Netherlands,7,MF, (1970-05-15),41,,Ajax,Netherlands
Dennis Bergkamp,Netherlands,8,FW, (1969-05-10),57,,Arsenal,England
Patrick Kluivert,Netherlands,9,FW, (1976-07-01),19,,Milan,Italy
Clarence Seedorf,Netherlands,10,MF, (1976-04-01),31,,Real Madrid,Spain
Phillip Cocu,Netherlands,11,MF, (1970-10-29),20,,PSV Eindhoven,Netherlands
Boudewijn Zenden,Netherlands,12,MF, (1976-08-15),6,,PSV Eindhoven,Netherlands
André Ooijer,Netherlands,13,DF, (1974-07-11),0,,PSV Eindhoven,Netherlands
Marc Overmars,Netherlands,14,MF, (1973-03-29),40,,Arsenal,England
Winston Bogarde,Netherlands,15,DF, (1970-10-22),14,,Barcelona,Spain
Edgar Davids,Netherlands,16,MF, (1973-03-13),12,,Juventus,Italy
Pierre van Hooijdonk,Netherlands,17,FW, (1969-11-29),12,,Nottingham Forest,England
Ed de Goey,Netherlands,18,GK, (1966-12-20),31,,Chelsea,England
Giovanni van Bronckhorst,Netherlands,19,MF, (1975-02-05),8,,Feyenoord,Netherlands
Aron Winter,Netherlands,20,MF, (1967-03-01),72,,Inter Milan,Italy
Jimmy Floyd Hasselbaink,Netherlands,21,FW, (1972-03-27),3,,Leeds United,England
Ruud Hesp,Netherlands,22,GK, (1965-10-31),0,,Barcelona,Spain
