Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Mohamed Al-Deayea,Saudi Arabia,1,GK, (1972-08-02),94,,Al-Ta'ee,Saudi Arabia,1998-06-10
Mohammed Sheliah,Saudi Arabia,2,DF, (1974-09-28),64,,Al Ahli,Saudi Arabia,1998-06-10
Mohammed Al-Khilaiwi,Saudi Arabia,3,DF, (1971-09-01),86,,Al-Ittihad,Saudi Arabia,1998-06-10
Abdullah Sulaiman Zubromawi,Saudi Arabia,4,MF, (1973-11-15),83,,Al Ahli,Saudi Arabia,1998-06-10
Ahmed Jamil,Saudi Arabia,5,DF, (1970-01-06),94,,Al-Ittihad,Saudi Arabia,1998-06-10
Fuad Anwar,Saudi Arabia,6,MF, (1972-10-13),95,,Al Shabab,Saudi Arabia,1998-06-10
Ibrahim Suwayed,Saudi Arabia,7,FW, (1974-07-21),19,,Al Ahli,Saudi Arabia,1998-06-10
Obeid Al-Dosari,Saudi Arabia,8,FW, (1975-10-02),61,,Al-Wehda,Saudi Arabia,1998-06-10
Sami Al-Jaber,Saudi Arabia,9,FW, (1972-12-11),85,,Al Hilal,Saudi Arabia,1998-06-10
Saeed Al-Owairan,Saudi Arabia,10,FW, (1967-08-19),55,,Al Shabab,Saudi Arabia,1998-06-10
Fahad Al-Mehallel,Saudi Arabia,11,FW, (1970-11-11),85,,Al Shabab,Saudi Arabia,1998-06-10
Ibrahim Mater,Saudi Arabia,12,MF, (1975-07-10),47,,Al Nassr,Saudi Arabia,1998-06-10
Hussein Abdulghani,Saudi Arabia,13,DF, (1977-01-23),40,,Al Ahli,Saudi Arabia,1998-06-10
Khaled Massad,Saudi Arabia,14,MF, (1971-11-23),91,,Al Ahli,Saudi Arabia,1998-06-10
Yousuf Al-Thunayan (captain),Saudi Arabia,15,MF, (1963-11-18),86,,Al Hilal,Saudi Arabia,1998-06-10
Khamis Al-Owairan,Saudi Arabia,16,MF, (1973-09-08),48,,Al Hilal,Saudi Arabia,1998-06-10
Ahmed Al-Dokhi,Saudi Arabia,17,DF, (1976-10-25),12,,Al Hilal,Saudi Arabia,1998-06-10
Nawaf Al-Temyat,Saudi Arabia,18,MF, (1976-06-26),0,,Al Hilal,Saudi Arabia,1998-06-10
Abdulaziz Al-Janoubi,Saudi Arabia,19,DF, (1974-07-21),3,,Al Nassr,Saudi Arabia,1998-06-10
Hamzah Saleh,Saudi Arabia,20,MF, (1967-04-19),38,,Al Ahli,Saudi Arabia,1998-06-10
Hussein Al-Sadiq,Saudi Arabia,21,GK, (1973-10-15),64,,Al Qadsiah,Saudi Arabia,1998-06-10
Tisir Al-Antaif,Saudi Arabia,22,GK, (1974-02-16),0,,Al Ettifaq,Saudi Arabia,1998-06-10
