Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Peter Rufai,Nigeria,1,GK, (1963-08-24),45,,Deportivo La Coruña,Spain,1998-06-10
Mobi Oparaku,Nigeria,2,DF, (1976-12-01),3,,Kapellen,Belgium,1998-06-10
Celestine Babayaro,Nigeria,3,DF, (1978-08-29),6,,Chelsea,England,1998-06-10
Nwankwo Kanu,Nigeria,4,FW, (1976-08-01),7,,Inter Milan,Italy,1998-06-10
Uche Okechukwu (captain),Nigeria,5,DF, (1967-09-27),41,,Fenerbahçe,Turkey,1998-06-10
Taribo West,Nigeria,6,DF, (1974-03-26),8,,Inter Milan,Italy,1998-06-10
Finidi George,Nigeria,7,MF, (1971-04-15),36,,Real Betis,Spain,1998-06-10
Mutiu Adepoju,Nigeria,8,MF, (1970-12-22),35,,Real Sociedad,Spain,1998-06-10
Rashidi Yekini,Nigeria,9,FW, (1963-10-23),63,,Zürich,Switzerland,1998-06-10
Jay-Jay Okocha,Nigeria,10,MF, (1973-08-14),26,,Fenerbahçe,Turkey,1998-06-10
Garba Lawal,Nigeria,11,MF, (1974-05-22),3,,Roda JC,Netherlands,1998-06-10
Willy Okpara,Nigeria,12,GK, (1968-05-07),5,,Orlando Pirates,South Africa,1998-06-10
Tijani Babangida,Nigeria,13,MF, (1973-09-25),4,,Ajax,Netherlands,1998-06-10
Daniel Amokachi,Nigeria,14,FW, (1972-12-30),43,,Beşiktaş,Turkey,1998-06-10
Sunday Oliseh,Nigeria,15,MF, (1974-09-14),22,,Ajax,Netherlands,1998-06-10
Uche Okafor,Nigeria,16,DF, (1967-08-08),33,,Kansas City Wizards,United States,1998-06-10
Augustine Eguavoen,Nigeria,17,DF, (1965-08-19),52,,Torpedo Moscow,Russia,1998-06-10
Wilson Oruma,Nigeria,18,MF, (1976-12-30),4,,Lens,France,1998-06-10
Benedict Iroha,Nigeria,19,DF, (1969-11-29),33,,Elche,Spain,1998-06-10
Victor Ikpeba,Nigeria,20,FW, (1973-06-12),15,,Monaco,France,1998-06-10
Godwin Okpara,Nigeria,21,DF, (1972-09-20),6,,Strasbourg,France,1998-06-10
Abiodun Baruwa,Nigeria,22,GK, (1974-11-16),3,,Sion,Switzerland,1998-06-10
