Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Jim Leighton,Scotland,1,GK, (1958-07-24),86,,Aberdeen,Scotland,1998-06-10
Jackie McNamara,Scotland,2,MF, (1973-10-24),6,,Celtic,Scotland,1998-06-10
Tom Boyd,Scotland,3,DF, (1965-11-24),55,,Celtic,Scotland,1998-06-10
Colin Calderwood,Scotland,4,DF, (1965-01-20),28,,Tottenham Hotspur,England,1998-06-10
Colin Hendry (captain),Scotland,5,DF, (1965-12-07),32,,Blackburn Rovers,England,1998-06-10
Tosh McKinlay,Scotland,6,DF, (1964-12-03),19,,Celtic,Scotland,1998-06-10
Kevin Gallacher,Scotland,7,FW, (1966-11-23),36,,Blackburn Rovers,England,1998-06-10
Craig Burley,Scotland,8,MF, (1971-09-24),25,,Celtic,Scotland,1998-06-10
Gordon Durie,Scotland,9,FW, (1965-12-06),40,,Rangers,Scotland,1998-06-10
Darren Jackson,Scotland,10,FW, (1966-07-25),24,,Celtic,Scotland,1998-06-10
John Collins,Scotland,11,MF, (1968-01-31),49,,Monaco,France,1998-06-10
Neil Sullivan,Scotland,12,GK, (1970-02-24),3,,Wimbledon,England,1998-06-10
Simon Donnelly,Scotland,13,FW, (1974-12-01),8,,Celtic,Scotland,1998-06-10
Paul Lambert,Scotland,14,MF, (1969-08-07),12,,Celtic,Scotland,1998-06-10
Scot Gemmill,Scotland,15,MF, (1971-01-02),13,,Nottingham Forest,England,1998-06-10
David Weir,Scotland,16,DF, (1970-05-10),5,,Heart of Midlothian,Scotland,1998-06-10
Billy McKinlay,Scotland,17,MF, (1969-04-22),25,,Blackburn Rovers,England,1998-06-10
Matt Elliott,Scotland,18,DF, (1968-11-01),3,,Leicester City,England,1998-06-10
Derek Whyte,Scotland,19,DF, (1968-08-31),11,,Aberdeen,Scotland,1998-06-10
Scott Booth,Scotland,20,FW, (1971-12-16),16,,FC Utrecht,Netherlands,1998-06-10
Jonathan Gould,Scotland,21,GK, (1968-07-18),0,,Celtic,Scotland,1998-06-10
Christian Dailly,Scotland,22,DF, (1973-10-23),10,,Derby County,England,1998-06-10
