Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Andreas Köpke,Germany,1,GK, (1962-03-12),54,,Marseille,France
Christian Wörns,Germany,2,DF, (1972-05-10),17,,Bayer Leverkusen,Germany
Jörg Heinrich,Germany,3,DF, (1969-12-06),15,,Borussia Dortmund,Germany
Jürgen Kohler,Germany,4,DF, (1965-10-06),101,,Borussia Dortmund,Germany
Thomas Helmer,Germany,5,DF, (1965-04-21),66,,Bayern Munich,Germany
Olaf Thon,Germany,6,DF, (1966-05-01),48,,Schalke 04,Germany
Andreas Möller,Germany,7,MF, (1967-09-02),79,,Borussia Dortmund,Germany
Lothar Matthäus,Germany,8,DF, (1961-03-21),125,,Bayern Munich,Germany
Ulf Kirsten,Germany,9,FW, (1965-12-04),32*,,Bayer Leverkusen,Germany
Thomas Häßler,Germany,10,MF, (1966-05-30),93,,Karlsruher SC,Germany
Olaf Marschall,Germany,11,FW, (1966-03-19),7*,,1. FC Kaiserslautern,Germany
Oliver Kahn,Germany,12,GK, (1969-06-15),10,,Bayern Munich,Germany
Jens Jeremies,Germany,13,MF, (1974-03-05),5,,1860 Munich,Germany
Markus Babbel,Germany,14,DF, (1972-09-08),30,,Bayern Munich,Germany
Steffen Freund,Germany,15,MF, (1970-01-19),21,,Borussia Dortmund,Germany
Dietmar Hamann,Germany,16,MF, (1973-08-27),7,,Bayern Munich,Germany
Christian Ziege,Germany,17,DF, (1972-02-01),37,,Milan,Italy
Jürgen Klinsmann (captain),Germany,18,FW, (1964-07-30),103,,Tottenham Hotspur,England
Stefan Reuter,Germany,19,DF, (1966-10-16),68,,Borussia Dortmund,Germany
Oliver Bierhoff,Germany,20,FW, (1968-05-01),26,,Udinese,Italy
Michael Tarnat,Germany,21,DF, (1969-10-27),12,,Bayern Munich,Germany
Jens Lehmann,Germany,22,GK, (1969-11-10),2,,Schalke 04,Germany
