Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Brad Friedel,United States,1,GK, (1971-05-18),56,,Liverpool,England,1998-06-10
Frankie Hejduk,United States,2,DF, (1974-08-05),11,,Tampa Bay Mutiny,United States,1998-06-10
Eddie Pope,United States,3,DF, (1973-12-24),23,,D.C. United,United States,1998-06-10
Mike Burns,United States,4,DF, (1970-09-14),73,,New England Revolution,United States,1998-06-10
Thomas Dooley (captain),United States,5,MF, (1961-12-05),77,,Columbus Crew,United States,1998-06-10
David Regis,United States,6,DF, (1968-12-02),2,,Karlsruher SC,Germany,1998-06-10
Roy Wegerle,United States,7,FW, (1964-03-19),39,,Tampa Bay Mutiny,United States,1998-06-10
Earnie Stewart,United States,8,MF, (1969-03-28),47,,NAC Breda,Netherlands,1998-06-10
Joe-Max Moore,United States,9,FW, (1971-02-23),68,,New England Revolution,United States,1998-06-10
Tab Ramos,United States,10,MF, (1966-09-21),80,,MetroStars,United States,1998-06-10
Eric Wynalda,United States,11,FW, (1969-06-09),100,,San Jose Clash,United States,1998-06-10
Jeff Agoos,United States,12,DF, (1968-05-02),87,,D.C. United,United States,1998-06-10
Cobi Jones,United States,13,MF, (1970-06-16),107,,LA Galaxy,United States,1998-06-10
Predrag Radosavljević,United States,14,MF, (1963-06-24),24,,Kansas City Wizards,United States,1998-06-10
Chad Deering,United States,15,MF, (1970-09-02),10,,VfL Wolfsburg,Germany,1998-06-10
Juergen Sommer,United States,16,GK, (1969-02-27),8,,Columbus Crew,United States,1998-06-10
Marcelo Balboa,United States,17,DF, (1967-08-08),126,,Colorado Rapids,United States,1998-06-10
Kasey Keller,United States,18,GK, (1969-11-29),33,,Leicester City,England,1998-06-10
Brian Maisonneuve,United States,19,MF, (1973-06-28),7,,Columbus Crew,United States,1998-06-10
Brian McBride,United States,20,FW, (1972-06-19),21,,Columbus Crew,United States,1998-06-10
Claudio Reyna,United States,21,MF, (1973-07-20),59,,VfL Wolfsburg,Germany,1998-06-10
Alexi Lalas,United States,22,DF, (1970-06-01),98,,MetroStars,United States,1998-06-10
