Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
José Luis Chilavert (captain),Paraguay,1,GK, (1965-07-27),40,,Vélez Sársfield,Argentina,1998-06-10
Francisco Arce,Paraguay,2,DF, (1971-04-02),28,,Palmeiras,Brazil,1998-06-10
Catalino Rivarola,Paraguay,3,DF, (1965-04-30),49,,Grêmio,Brazil,1998-06-10
Carlos Gamarra,Paraguay,4,DF, (1971-02-17),48,,Corinthians,Brazil,1998-06-10
Celso Ayala,Paraguay,5,DF, (1970-08-20),42,,River Plate,Argentina,1998-06-10
Edgar Aguilera,Paraguay,6,DF, (1975-07-28),1,,Cerro Corá,Paraguay,1998-06-10
Julio César Yegros,Paraguay,7,MF, (1971-01-31),6,,Cruz Azul,Mexico,1998-06-10
Arístides Rojas,Paraguay,8,FW, (1968-08-12),5,,Unión de Santa Fe,Argentina,1998-06-10
José Cardozo,Paraguay,9,FW, (1971-03-19),12,,Toluca,Mexico,1998-06-10
Roberto Acuña,Paraguay,10,MF, (1972-03-25),40,,Zaragoza,Spain,1998-06-10
Pedro Sarabia,Paraguay,11,DF, (1975-07-05),20,,River Plate,Argentina,1998-06-10
Danilo Aceval,Paraguay,12,GK, (1975-09-15),3,,Unión de Santa Fe,Argentina,1998-06-10
Carlos Paredes,Paraguay,13,MF, (1976-07-16),3,,Olimpia,Paraguay,1998-06-10
Ricardo Rojas,Paraguay,14,DF, (1971-01-26),6,,Estudiantes,Argentina,1998-06-10
Miguel Ángel Benítez,Paraguay,15,FW, (1970-05-19),32,,Espanyol,Spain,1998-06-10
Julio César Enciso,Paraguay,16,MF, (1974-08-05),4,,Internacional,Brazil,1998-06-10
Hugo Brizuela,Paraguay,17,FW, (1969-02-08),11,,Argentinos Juniors,Argentina,1998-06-10
César Ramírez,Paraguay,18,FW, (1977-03-21),3,,Sporting CP,Portugal,1998-06-10
Carlos Morales,Paraguay,19,MF, (1968-11-04),0,,Gimnasia de Jujuy,Argentina,1998-06-10
Denis Caniza,Paraguay,20,DF, (1974-08-29),8,,Olimpia,Paraguay,1998-06-10
Jorge Luis Campos,Paraguay,21,MF, (1970-08-11),10,,Beijing Guo'an,China,1998-06-10
Rubén Ruiz Díaz,Paraguay,22,GK, (1969-11-11),12,,Monterrey,Mexico,1998-06-10
