Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Frode Grodås (captain),Norway,1,GK, (1964-10-24),39,,Tottenham Hotspur,England,1998-06-10
Gunnar Halle,Norway,2,DF, (1965-08-11),60,,Leeds United,England,1998-06-10
Ronny Johnsen,Norway,3,DF, (1969-06-10),33,,Manchester United,England,1998-06-10
Henning Berg,Norway,4,DF, (1969-09-01),52,,Manchester United,England,1998-06-10
Stig Inge Bjørnebye,Norway,5,DF, (1969-12-11),62,,Liverpool,England,1998-06-10
Ståle Solbakken,Norway,6,MF, (1968-02-27),34,,AaB,Denmark,1998-06-10
Erik Mykland,Norway,7,MF, (1971-07-21),54,,Panathinaikos,Greece,1998-06-10
Øyvind Leonhardsen,Norway,8,MF, (1970-08-17),55,,Liverpool,England,1998-06-10
Tore André Flo,Norway,9,FW, (1973-06-15),25,,Chelsea,England,1998-06-10
Kjetil Rekdal,Norway,10,MF, (1968-11-06),66,,Hertha BSC,Germany,1998-06-10
Mini Jakobsen,Norway,11,MF, (1965-11-08),64,,Rosenborg,Norway,1998-06-10
Thomas Myhre,Norway,12,GK, (1973-10-16),1,,Everton,England,1998-06-10
Espen Baardsen,Norway,13,GK, (1977-12-07),1,,Tottenham Hotspur,England,1998-06-10
Vegard Heggem,Norway,14,DF, (1975-07-13),1,,Rosenborg,Norway,1998-06-10
Dan Eggen,Norway,15,DF, (1970-01-13),13,,Celta Vigo,Spain,1998-06-10
Jostein Flo,Norway,16,FW, (1964-10-03),44,,Strømsgodset,Norway,1998-06-10
Håvard Flo,Norway,17,FW, (1970-04-04),9,,Werder Bremen,Germany,1998-06-10
Egil Østenstad,Norway,18,FW, (1972-01-02),13,,Southampton,England,1998-06-10
Erik Hoftun,Norway,19,DF, (1969-03-03),1,,Rosenborg,Norway,1998-06-10
Ole Gunnar Solskjær,Norway,20,FW, (1973-02-26),13,,Manchester United,England,1998-06-10
Vidar Riseth,Norway,21,DF, (1972-04-21),4,,LASK,Austria,1998-06-10
Roar Strand,Norway,22,MF, (1970-02-02),5,,Rosenborg,Norway,1998-06-10
