Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Nelson Tapia,Chile,1,GK, (1966-09-22),34,,Universidad Católica,Chile,1998-06-10
Cristián Castañeda,Chile,2,DF, (1968-09-18),24,,Universidad de Chile,Chile,1998-06-10
Ronald Fuentes,Chile,3,DF, (1969-06-22),41,,Universidad de Chile,Chile,1998-06-10
Francisco Rojas,Chile,4,DF, (1974-07-22),12,,Colo-Colo,Chile,1998-06-10
Javier Margas,Chile,5,DF, (1969-05-10),52,,Universidad Católica,Chile,1998-06-10
Pedro Reyes,Chile,6,DF, (1972-11-13),24,,Colo-Colo,Chile,1998-06-10
Nelson Parraguez,Chile,7,MF, (1971-04-05),37,,Universidad Católica,Chile,1998-06-10
Clarence Acuña,Chile,8,MF, (1975-02-08),28,,Universidad de Chile,Chile,1998-06-10
Iván Zamorano (captain),Chile,9,FW, (1967-01-18),42,,Inter Milan,Italy,1998-06-10
José Luis Sierra,Chile,10,MF, (1968-12-05),31,,Colo-Colo,Chile,1998-06-10
Marcelo Salas,Chile,11,FW, (1974-12-24),39,,River Plate,Argentina,1998-06-10
Marcelo Ramírez,Chile,12,GK, (1965-05-29),19,,Colo-Colo,Chile,1998-06-10
Manuel Neira,Chile,13,FW, (1977-10-12),5,,Colo-Colo,Chile,1998-06-10
Miguel Ramírez,Chile,14,DF, (1970-06-11),38,,Universidad Católica,Chile,1998-06-10
Moisés Villarroel,Chile,15,DF, (1976-02-12),10,,Santiago Wanderers,Chile,1998-06-10
Mauricio Aros,Chile,16,DF, (1976-03-09),4,,Universidad de Chile,Chile,1998-06-10
Marcelo Vega,Chile,17,MF, (1971-08-12),29,,MetroStars,United States,1998-06-10
Luis Musrri,Chile,18,MF, (1969-12-24),27,,Universidad de Chile,Chile,1998-06-10
Fernando Cornejo,Chile,19,MF, (1969-01-28),27,,Cobreloa,Chile,1998-06-10
Fabián Estay,Chile,20,MF, (1968-10-05),48,,Toluca,Mexico,1998-06-10
Rodrigo Barrera,Chile,21,FW, (1970-03-30),22,,Universidad de Chile,Chile,1998-06-10
Carlos Tejas,Chile,22,GK, (1974-10-04),0,,Coquimbo Unido,Chile,1998-06-10
