Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Dumitru Stângaciu,Romania,1,GK, (1964-08-09),5,,Kocaelispor,Turkey,1998-06-10
Dan Petrescu,Romania,2,DF, (1967-12-22),68,,Chelsea,England,1998-06-10
Cristian Dulca,Romania,3,DF, (1972-09-25),5,,Rapid București,Romania,1998-06-10
Anton Doboș,Romania,4,DF, (1965-10-13),21,,AEK Athens,Greece,1998-06-10
Constantin Gâlcă,Romania,5,MF, (1972-03-08),32,,Espanyol,Spain,1998-06-10
Gheorghe Popescu,Romania,6,DF, (1967-10-09),78,,Galatasaray,Turkey,1998-06-10
Marius Lăcătuș,Romania,7,FW, (1964-04-05),81,,Steaua București,Romania,1998-06-10
Dorinel Munteanu,Romania,8,MF, (1968-06-25),63,,1. FC Köln,Germany,1998-06-10
Viorel Moldovan,Romania,9,FW, (1972-07-08),24,,Coventry City,England,1998-06-10
Gheorghe Hagi (captain),Romania,10,MF, (1965-02-05),111,,Galatasaray,Turkey,1998-06-10
Adrian Ilie,Romania,11,FW, (1974-04-20),20,,Valencia,Spain,1998-06-10
Bogdan Stelea,Romania,12,GK, (1967-12-05),46,,Salamanca,Spain,1998-06-10
Liviu Ciobotariu,Romania,13,DF, (1971-03-26),4,,Național București,Romania,1998-06-10
Radu Niculescu,Romania,14,MF, (1975-03-02),11,,Național București,Romania,1998-06-10
Lucian Marinescu,Romania,15,MF, (1972-06-24),4,,Rapid București,Romania,1998-06-10
Gabriel Popescu,Romania,16,MF, (1973-12-23),12,,Salamanca,Spain,1998-06-10
Ilie Dumitrescu,Romania,17,FW, (1969-01-06),62,,Atlante,Mexico,1998-06-10
Iulian Filipescu,Romania,18,MF, (1974-03-29),15,,Galatasaray,Turkey,1998-06-10
Ovidiu Stîngă,Romania,19,MF, (1972-12-05),19,,PSV Eindhoven,Netherlands,1998-06-10
Tibor Selymes,Romania,20,DF, (1970-05-14),44,,Anderlecht,Belgium,1998-06-10
Gheorghe Craioveanu,Romania,21,FW, (1968-02-14),18,,Real Sociedad,Spain,1998-06-10
Florin Prunea,Romania,22,GK, (1968-08-08),35,,Universitatea Cluj,Romania,1998-06-10
