Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Harry Gregg,Northern Ireland,1,GK, (1932-10-27),10,,Manchester United,England,1958-06-08
Willie Cunningham,Northern Ireland,2,DF, (1930-02-20),16,,Leicester City,England,1958-06-08
Alf McMichael,Northern Ireland,3,DF, (1927-10-01),29,,Newcastle United,England,1958-06-08
Danny Blanchflower (captain),Northern Ireland,4,MF, (1926-02-10),30,,Tottenham Hotspur,England,1958-06-08
Dick Keith,Northern Ireland,5,DF, (1933-05-15),3,,Newcastle United,England,1958-06-08
Bertie Peacock,Northern Ireland,6,MF, (1928-09-29),15,,Celtic,Scotland,1958-06-08
Billy Bingham,Northern Ireland,7,FW, (1931-08-05),28,,Sunderland,England,1958-06-08
Wilbur Cush,Northern Ireland,8,FW, (1928-06-10),11,,Leeds United,England,1958-06-08
Billy Simpson,Northern Ireland,9,FW, (1929-12-12),11,,Rangers,Scotland,1958-06-08
Jimmy McIlroy,Northern Ireland,10,FW, (1931-10-25),26,,Burnley,England,1958-06-08
Peter McParland,Northern Ireland,11,FW, (1934-04-25),14,,Aston Villa,England,1958-06-08
Norman Uprichard,Northern Ireland,12,GK, (1928-04-20),15,,Portsmouth,England,1958-06-08
Tommy Casey,Northern Ireland,13,FW, (1930-03-11),8,,Newcastle United,England,1958-06-08
Jackie Scott,Northern Ireland,14,FW, (1933-12-22),0,,Grimsby Town,England,1958-06-08
Sammy McCrory,Northern Ireland,15,FW, (1924-10-11),1,,Southend United,England,1958-06-08
Derek Dougan,Northern Ireland,16,FW, (1938-01-20),0,,Portsmouth,England,1958-06-08
Fay Coyle,Northern Ireland,17,FW, (1933-04-01),3,,Nottingham Forest,England,1958-06-08
Roy Rea*,Northern Ireland,18,GK, (1934-11-28),0,,Glenavon,Northern Ireland,1958-06-08
Len Graham*,Northern Ireland,19,DF, (1925-10-17),13,,Doncaster Rovers,England,1958-06-08
Sammy Chapman*,Northern Ireland,20,MF, (1938-02-16),0,,Portsmouth,England,1958-06-08
Tommy Hamill*,Northern Ireland,21,DF, (1933-07-10),0,,Linfield,Northern Ireland,1958-06-08
Bobby Trainor*,Northern Ireland,22,FW, (1934-04-25),0,,Coleraine,Northern Ireland,1958-06-08
