Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Nacerdine Drid,Algeria,1,GK, (1957-01-22),0,,MP Oran,Algeria,1986-05-31
Mahmoud Guendouz (Captain),Algeria,2,DF, (1953-02-24),8,,JS El Biar,Algeria,1986-05-31
Fathi Chebel,Algeria,3,MF, (1956-08-19),?,,Rouen,France,1986-05-31
Noureddine Kourichi,Algeria,4,DF, (1954-04-12),3,,Lille,France,1986-05-31
Abdellah Medjadi Liegeon,Algeria,5,DF, (1957-12-01),0,,Monaco,France,1986-05-31
Mohamed Kaci-Saïd,Algeria,6,MF, (1958-05-02),0,,RS Kouba,Algeria,1986-05-31
Salah Assad,Algeria,7,FW, (1958-03-13),7,,Mulhouse,France,1986-05-31
Karim Maroc,Algeria,8,MF, (1958-03-05),0,,Montpellier,France,1986-05-31
Djamel Menad,Algeria,9,FW, (1960-07-22),4,,JE Tizi-Ouzou,Algeria,1986-05-31
Lakhdar Belloumi,Algeria,10,MF, (1958-12-29),7,,GCR Mascara,Algeria,1986-05-31
Rabah Madjer,Algeria,11,FW, (1958-12-15),8,,Porto,Portugal,1986-05-31
Tedj Bensaoula,Algeria,12,FW, (1954-12-01),8,,Le Havre,France,1986-05-31
Rachid Harkouk,Algeria,13,FW, (1956-05-16),0,,Notts County,England,1986-05-31
Djamel Zidane,Algeria,14,FW, (1955-04-28),2,,Waterschei Thor,Belgium,1986-05-31
Abdelhamid Sadmi,Algeria,15,DF, (1961-01-01),1,,JE Tizi-Ouzou,Algeria,1986-05-31
Faouzi Mansouri,Algeria,16,DF, (1956-01-17),3,,Montpellier,France,1986-05-31
Fawzi Benkhalidi,Algeria,17,MF, (1963-02-03),?,,WKF Boufarik,Algeria,1986-05-31
Halim Benmabrouk,Algeria,18,MF, (1960-06-25),0,,Racing Paris,France,1986-05-31
Mohamed Chaïb,Algeria,19,DF, (1957-05-20),0,,RS Kouba,Algeria,1986-05-31
Fodil Megharia,Algeria,20,DF, (1961-05-23),1,,ASO Chlef,Algeria,1986-05-31
Larbi El Hadi,Algeria,21,GK, (1961-05-27),0,,WKF Boufarik,Algeria,1986-05-31
Mourad Amara,Algeria,22,GK, (1959-02-19),4,,JE Tizi-Ouzou,Algeria,1986-05-31
