Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Joël Bats,France,1,GK, (1957-01-04),23,,Paris Saint-Germain,France
Manuel Amoros,France,2,DF, (1962-02-01),32,,Monaco,France
William Ayache,France,3,DF, (1961-01-10),9,,Nantes,France
Patrick Battiston,France,4,DF, (1957-03-12),42,,Bordeaux,France
Michel Bibard,France,5,DF, (1958-11-30),5,,Paris Saint-Germain,France
Maxime Bossis,France,6,DF, (1955-06-26),69,,Racing Paris,France
Yvon Le Roux,France,7,DF, (1960-04-19),18,,Nantes,France
Thierry Tusseau,France,8,DF, (1958-01-19),18,,Bordeaux,France
Luis Fernandez,France,9,MF, (1959-10-02),28,,Paris Saint-Germain,France
Michel Platini (Captain),France,10,MF, (1955-06-21),63,,Juventus,Italy
Jean-Marc Ferreri,France,11,MF, (1962-12-26),14,,Auxerre,France
Alain Giresse,France,12,MF, (1952-09-02),41,,Bordeaux,France
Bernard Genghini,France,13,MF, (1958-01-18),25,,Monaco,France
Jean Tigana,France,14,MF, (1955-06-23),40,,Bordeaux,France
Philippe Vercruysse,France,15,MF, (1962-01-28),2,,Lens,France
Bruno Bellone,France,16,FW, (1962-03-14),24,,Monaco,France
Jean-Pierre Papin,France,17,FW, (1963-11-05),1,,Club Brugge,Belgium
Dominique Rocheteau,France,18,FW, (1955-01-14),45,,Paris Saint-Germain,France
Yannick Stopyra,France,19,FW, (1961-01-09),16,,Toulouse,France
Daniel Xuereb,France,20,FW, (1959-06-22),3,,Lens,France
Philippe Bergeroo,France,21,GK, (1954-01-13),3,,Toulouse,France
Albert Rust,France,22,GK, (1953-10-10),0,,Sochaux,France
