Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Ignacio Calderón,Mexico,1,GK, (1943-12-13),40,,Guadalajara,Mexico
Juan Manuel Alejandrez,Mexico,2,DF, (1944-05-17),24,,Cruz Azul,Mexico
Gustavo Peña (c),Mexico,3,DF, (1941-11-22),63,,Cruz Azul,Mexico
Francisco Montes,Mexico,4,DF, (1943-04-22),7,,Veracruz,Mexico
Mario Pérez,Mexico,5,DF, (1946-07-30),45,,América,Mexico
Guillermo Hernández,Mexico,6,DF, (1942-06-25),26,,América,Mexico
Marcos Rivas,Mexico,7,MF, (1947-11-25),5,,Atlante,Mexico
Antonio Munguía,Mexico,8,MF, (1942-06-27),33,,Cruz Azul,Mexico
Enrique Borja,Mexico,9,FW, (1945-12-30),37,,América,Mexico
Horacio López Salgado,Mexico,10,FW, (1948-09-15),15,,América,Mexico
Aarón Padilla,Mexico,11,FW, (1942-07-10),51,,UNAM,Mexico
Antonio Mota,Mexico,12,GK, (1939-01-26),13,,Necaxa,Mexico
José Vantolrá,Mexico,13,DF, (1943-03-30),26,,Toluca,Mexico
Javier Guzmán,Mexico,14,DF, (1945-01-09),9,,Cruz Azul,Mexico
Héctor Pulido,Mexico,15,MF, (1942-12-20),24,,Cruz Azul,Mexico
Isidoro Díaz,Mexico,16,FW, (1938-03-14),67,,León,Mexico
José Luis González,Mexico,17,MF, (1942-09-14),36,,UNAM,Mexico
Mario Velarde,Mexico,18,MF, (1940-03-29),2,,UNAM,Mexico
Javier Valdivia,Mexico,19,FW, (1941-12-04),16,,Guadalajara,Mexico
Juan Ignacio Basaguren,Mexico,20,MF, (1944-07-21),10,,Atlante,Mexico
Javier Fragoso,Mexico,21,FW, (1942-04-19),43,,América,Mexico
Francisco Castrejón,Mexico,22,GK, (1947-06-11),13,,UNAM,Mexico
