Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Christian Piot,Belgium,1,GK, (1947-10-04),2,,Standard Liège,Belgium,1970-05-31
Georges Heylens,Belgium,2,DF, (1941-08-08),47,,Anderlecht,Belgium,1970-05-31
Jean Thissen,Belgium,3,DF, (1946-04-21),12,,Standard Liège,Belgium,1970-05-31
Nicolas Dewalque,Belgium,4,DF, (1945-09-20),12,,Standard Liège,Belgium,1970-05-31
Léon Jeck,Belgium,5,DF, (1947-02-09),7,,Standard Liège,Belgium,1970-05-31
Jean Dockx,Belgium,6,MF, (1941-05-24),10,,RWD Molenbeek,Belgium,1970-05-31
Léon Semmeling,Belgium,7,MF, (1940-01-04),15,,Standard Liège,Belgium,1970-05-31
Wilfried Van Moer,Belgium,8,MF, (1945-03-01),15,,Standard Liège,Belgium,1970-05-31
Johan Devrindt,Belgium,9,FW, (1944-04-14),14,,Anderlecht,Belgium,1970-05-31
Paul Van Himst (c),Belgium,10,FW, (1943-10-02),53,,Anderlecht,Belgium,1970-05-31
Wilfried Puis,Belgium,11,FW, (1943-02-18),40,,Anderlecht,Belgium,1970-05-31
Jean-Marie Trappeniers,Belgium,12,GK, (1942-01-13),11,,Anderlecht,Belgium,1970-05-31
Jacques Beurlet,Belgium,13,DF, (1944-12-21),3,,Standard Liège,Belgium,1970-05-31
Maurice Martens,Belgium,14,MF, (1947-06-05),0,,Anderlecht,Belgium,1970-05-31
Erwin Vandendaele,Belgium,15,MF, (1945-03-05),0,,Club Brugge,Belgium,1970-05-31
Odilon Polleunis,Belgium,16,MF, (1943-05-01),11,,Sint-Truiden,Belgium,1970-05-31
Jan Verheyen,Belgium,17,MF, (1944-07-09),10,,Beerschot,Belgium,1970-05-31
Raoul Lambert,Belgium,18,FW, (1944-10-20),4,,Club Brugge,Belgium,1970-05-31
Pierre Carteus,Belgium,19,FW, (1943-09-24),0,,Club Brugge,Belgium,1970-05-31
Alfons Peeters,Belgium,20,MF, (1943-01-21),4,,Anderlecht,Belgium,1970-05-31
Frans Janssens,Belgium,21,FW, (1945-09-25),0,,Lierse,Belgium,1970-05-31
Jacques Duquesne,Belgium,22,GK, (1940-04-22),0,,Olympic Charleroi,Belgium,1970-05-31
