Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Leonid Shmuts,Soviet Union,1,GK, (1948-10-08),0,,CSKA Moscow,Soviet Union
Anzor Kavazashvili,Soviet Union,2,GK, (1940-07-19),25,,Spartak Moscow,Soviet Union
Valentin Afonin,Soviet Union,3,DF, (1939-12-22),38,,SKA Rostov,Soviet Union
Revaz Dzodzuashvili,Soviet Union,4,DF, (1945-04-15),10,,Dinamo Tbilisi,Soviet Union
Vladimir Kaplichny,Soviet Union,5,DF, (1944-02-26),22,,CSKA Moscow,Soviet Union
Evgeny Lovchev,Soviet Union,6,DF, (1949-01-29),10,,Spartak Moscow,Soviet Union
Gennady Logofet,Soviet Union,7,DF, (1942-04-15),15,,Spartak Moscow,Soviet Union
Murtaz Khurtsilava,Soviet Union,8,DF, (1943-01-05),39,,Dinamo Tbilisi,Soviet Union
Albert Shesternyov (c),Soviet Union,9,DF, (1941-06-20),74,,CSKA Moscow,Soviet Union
Valery Zykov,Soviet Union,10,MF, (1944-02-24),1,,Dynamo Moscow,Soviet Union
Kakhi Asatiani,Soviet Union,11,MF, (1947-01-01),10,,Dinamo Tbilisi,Soviet Union
Nikolay Kiselyov,Soviet Union,12,MF, (1946-01-29),8,,Spartak Moscow,Soviet Union
Lev Yashin,Soviet Union,13,GK, (1929-10-22),74,,Dynamo Moscow,Soviet Union
Vladimir Muntyan,Soviet Union,14,MF, (1946-09-14),13,,Dynamo Kyiv,Soviet Union
Viktor Serebryanikov,Soviet Union,15,MF, (1940-03-29),19,,Dynamo Kyiv,Soviet Union
Anatoliy Byshovets,Soviet Union,16,FW, (1946-04-23),29,,Dynamo Kyiv,Soviet Union
Gennady Yevriuzhikin,Soviet Union,17,FW, (1944-02-04),13,,Dynamo Moscow,Soviet Union
Slava Metreveli,Soviet Union,18,FW, (1936-05-30),48,,Dinamo Tbilisi,Soviet Union
Givi Nodia,Soviet Union,19,FW, (1948-01-02),10,,Dinamo Tbilisi,Soviet Union
Anatoliy Puzach,Soviet Union,20,FW, (1941-06-03),10,,Dynamo Kyiv,Soviet Union
Vitaly Khmelnitsky,Soviet Union,21,FW, (1943-06-12),13,,Dynamo Kyiv,Soviet Union
Valeriy Porkujan,Soviet Union,22,FW, (1944-10-04),8,,Chornomorets Odesa,Soviet Union
