Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Walter Zenga,Italy,1,GK, (1960-04-28),35,,Internazionale,Italy
Franco Baresi,Italy,2,DF, (1960-05-08),39,,Milan,Italy
Giuseppe Bergomi (c),Italy,3,DF, (1963-12-22),65,,Internazionale,Italy
Luigi De Agostini,Italy,4,DF, (1961-04-07),24,,Juventus,Italy
Ciro Ferrara,Italy,5,DF, (1967-02-11),16,,Napoli,Italy
Riccardo Ferri,Italy,6,DF, (1963-08-20),29,,Internazionale,Italy
Paolo Maldini,Italy,7,DF, (1968-06-26),19,,Milan,Italy
Pietro Vierchowod,Italy,8,DF, (1959-04-06),29,,Sampdoria,Italy
Carlo Ancelotti,Italy,9,MF, (1959-06-10),22,,Milan,Italy
Nicola Berti,Italy,10,MF, (1967-04-14),11,,Internazionale,Italy
Fernando De Napoli,Italy,11,MF, (1964-03-15),38,,Napoli,Italy
Stefano Tacconi,Italy,12,GK, (1957-05-13),5,,Juventus,Italy
Giuseppe Giannini,Italy,13,MF, (1964-08-20),34,,Roma,Italy
Giancarlo Marocchi,Italy,14,MF, (1965-07-04),7,,Juventus,Italy
Roberto Baggio,Italy,15,FW, (1967-02-18),8,,Fiorentina,Italy
Andrea Carnevale,Italy,16,FW, (1961-01-12),8,,Napoli,Italy
Roberto Donadoni,Italy,17,MF, (1963-09-09),29,,Milan,Italy
Roberto Mancini,Italy,18,FW, (1964-11-27),20,,Sampdoria,Italy
Salvatore Schillaci,Italy,19,FW, (1964-12-01),1,,Juventus,Italy
Aldo Serena,Italy,20,FW, (1960-06-25),18,,Internazionale,Italy
Gianluca Vialli,Italy,21,FW, (1964-07-09),42,,Sampdoria,Italy
Gianluca Pagliuca,Italy,22,GK, (1966-12-18),0,,Sampdoria,Italy
