Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Kim Poong-joo,South Korea,1,GK, (1961-10-01),3,,Daewoo Royals,South Korea,1990-06-08
Park Kyung-hoon,South Korea,2,DF, (1961-01-19),11,,POSCO Atoms,South Korea,1990-06-08
Choi Kang-hee,South Korea,3,DF, (1959-04-12),6,,Hyundai Horangi,South Korea,1990-06-08
Yoon Deok-yeo,South Korea,4,DF, (1961-03-25),0,,Hyundai Horangi,South Korea,1990-06-08
Chung Yong-hwan (c),South Korea,5,DF, (1960-02-10),12,,Daewoo Royals,South Korea,1990-06-08
Lee Tae-ho,South Korea,6,FW, (1961-01-29),6,,Daewoo Royals,South Korea,1990-06-08
Noh Soo-jin,South Korea,7,MF, (1962-02-10),4,,Yukong Elephants,South Korea,1990-06-08
Chung Hae-won,South Korea,8,FW, (1959-07-01),6,,Daewoo Royals,South Korea,1990-06-08
Hwangbo Kwan,South Korea,9,MF, (1965-03-01),1,,Yukong Elephants,South Korea,1990-06-08
Lee Sang-yoon,South Korea,10,FW, (1969-04-10),0,,Ilhwa Chunma,South Korea,1990-06-08
Byun Byung-joo,South Korea,11,FW, (1961-04-26),11,,Hyundai Horangi,South Korea,1990-06-08
Lee Heung-sil,South Korea,12,MF, (1961-07-10),0,,POSCO Atoms,South Korea,1990-06-08
Chung Jong-soo,South Korea,13,DF, (1961-03-27),1,,Hyundai Horangi,South Korea,1990-06-08
Choi Soon-ho,South Korea,14,FW, (1962-01-10),76,,Lucky-Goldstar Hwangso,South Korea,1990-06-08
Cho Min-kook,South Korea,15,DF, (1963-07-05),10,,Lucky-Goldstar Hwangso,South Korea,1990-06-08
Kim Joo-sung,South Korea,16,MF, (1966-01-17),11,,Daewoo Royals,South Korea,1990-06-08
Gu Sang-bum,South Korea,17,DF, (1964-06-15),9,,Lucky-Goldstar Hwangso,South Korea,1990-06-08
Hwang Sun-hong,South Korea,18,FW, (1968-07-14),7,,Konkuk University,South Korea,1990-06-08
Jeong Gi-dong,South Korea,19,GK, (1961-05-13),?,,POSCO Atoms,South Korea,1990-06-08
Hong Myung-bo,South Korea,20,DF, (1969-02-12),4,,Korea University,South Korea,1990-06-08
Choi In-young,South Korea,21,GK, (1962-03-05),0,,Hyundai Horangi,South Korea,1990-06-08
Lee Young-jin,South Korea,22,MF, (1963-10-27),0,,Lucky-Goldstar Hwangso,South Korea,1990-06-08
