Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Luis Gabelo Conejo,Costa Rica,1,GK, (1960-01-01),32,,Ramonense,Costa Rica,1990-06-08
Vladimir Quesada,Costa Rica,2,DF, (1966-05-12),0,,Saprissa,Costa Rica,1990-06-08
Róger Flores (c),Costa Rica,3,DF, (1959-05-26),0,,Saprissa,Costa Rica,1990-06-08
Rónald González Brenes,Costa Rica,4,DF, (1970-08-08),4,,Saprissa,Costa Rica,1990-06-08
Marvin Obando,Costa Rica,5,DF, (1960-04-04),6,,Herediano,Costa Rica,1990-06-08
José Carlos Chaves,Costa Rica,6,MF, (1958-09-03),0,,Alajuelense,Costa Rica,1990-06-08
Hernán Medford,Costa Rica,7,FW, (1968-05-23),18,,Saprissa,Costa Rica,1990-06-08
Germán Chavarría,Costa Rica,8,MF, (1958-03-19),3,,Herediano,Costa Rica,1990-06-08
Alexandre Guimarães,Costa Rica,9,MF, (1959-11-07),0,,Saprissa,Costa Rica,1990-06-08
Oscar Ramírez,Costa Rica,10,MF, (1964-12-08),25,,Alajuelense,Costa Rica,1990-06-08
Claudio Jara,Costa Rica,11,FW, (1959-05-06),0,,Herediano,Costa Rica,1990-06-08
Róger Gómez,Costa Rica,12,MF, (1965-02-07),0,,Cartaginés,Costa Rica,1990-06-08
Miguel Davis,Costa Rica,13,MF, (1966-06-18),?,,Alajuelense,Costa Rica,1990-06-08
Juan Cayasso,Costa Rica,14,MF, (1961-06-24),1,,Saprissa,Costa Rica,1990-06-08
Rónald Marín,Costa Rica,15,DF, (1962-11-02),3,,Herediano,Costa Rica,1990-06-08
José Jaikel,Costa Rica,16,FW, (1966-04-03),?,,Saprissa,Costa Rica,1990-06-08
Roy Myers,Costa Rica,17,MF, (1969-04-13),0,,Limonense,Costa Rica,1990-06-08
Geovanny Jara,Costa Rica,18,DF, (1967-07-20),0,,Herediano,Costa Rica,1990-06-08
Héctor Marchena,Costa Rica,19,DF, (1965-01-04),0,,Cartaginés,Costa Rica,1990-06-08
Mauricio Montero,Costa Rica,20,DF, (1963-10-19),21,,Alajuelense,Costa Rica,1990-06-08
Hermidio Barrantes,Costa Rica,21,GK, (1964-09-02),0,,Municipal Puntarenas,Costa Rica,1990-06-08
Miguel Segura,Costa Rica,22,GK, (1963-09-02),?,,Saprissa,Costa Rica,1990-06-08
